"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.49043838469E+001, +0.00000000000E+000
+9.49970000000E+005, +1.68725420564E+002, +0.00000000000E+000
+1.59994000000E+006, +8.12110246511E+001, +0.00000000000E+000
+2.24991000000E+006, +6.60919860429E+001, +0.00000000000E+000
+2.89988000000E+006, +6.30176161674E+001, +0.00000000000E+000
+3.54985000000E+006, +1.07337446968E+002, +0.00000000000E+000
+4.19982000000E+006, +9.33769234357E+001, +0.00000000000E+000
+4.84979000000E+006, +1.07167652884E+002, +0.00000000000E+000
+5.49976000000E+006, +1.14411085848E+002, +0.00000000000E+000
+6.14973000000E+006, +8.43948557926E+001, +0.00000000000E+000
+6.79970000000E+006, +8.07718041580E+001, +0.00000000000E+000
+7.44967000000E+006, +8.96856989098E+001, +0.00000000000E+000
+8.09964000000E+006, +1.05649030616E+002, +0.00000000000E+000
+8.74961000000E+006, +8.76281426719E+001, +0.00000000000E+000
+9.39958000000E+006, +8.79197663928E+001, +0.00000000000E+000
+1.00495500000E+007, +8.85550495903E+001, +0.00000000000E+000
+1.06995200000E+007, +8.68307385312E+001, +0.00000000000E+000
+1.13494900000E+007, +8.80769965603E+001, +0.00000000000E+000
+1.19994600000E+007, +8.58317339892E+001, +0.00000000000E+000
+1.26494300000E+007, +8.56137024378E+001, +0.00000000000E+000
+1.32994000000E+007, +8.74739526607E+001, +0.00000000000E+000
+1.39493700000E+007, +8.64426507800E+001, +0.00000000000E+000
+1.45993400000E+007, +8.66182468306E+001, +0.00000000000E+000
+1.52493100000E+007, +8.60569608414E+001, +0.00000000000E+000
+1.58992800000E+007, +8.76268613569E+001, +0.00000000000E+000
+1.65492500000E+007, +8.57192970835E+001, +0.00000000000E+000
+1.71992200000E+007, +8.67069800833E+001, +0.00000000000E+000
+1.78491900000E+007, +8.57692393333E+001, +0.00000000000E+000
+1.84991600000E+007, +8.59655288527E+001, +0.00000000000E+000
+1.91491300000E+007, +8.58551939792E+001, +0.00000000000E+000
+1.97991000000E+007, +8.65718615071E+001, +0.00000000000E+000
+2.04490700000E+007, +8.71708663782E+001, +0.00000000000E+000
+2.10990400000E+007, +8.60737053863E+001, +0.00000000000E+000
+2.17490100000E+007, +8.68249164615E+001, +0.00000000000E+000
+2.23989800000E+007, +8.83534752949E+001, +0.00000000000E+000
+2.30489500000E+007, +8.93221017416E+001, +0.00000000000E+000
+2.36989200000E+007, +8.88821848479E+001, +0.00000000000E+000
+2.43488900000E+007, +8.96893564775E+001, +0.00000000000E+000
+2.49988600000E+007, +8.96021091829E+001, +0.00000000000E+000
+2.56488300000E+007, +8.77446692761E+001, +0.00000000000E+000
+2.62988000000E+007, +8.76570996111E+001, +0.00000000000E+000
+2.69487700000E+007, +8.54222354092E+001, +0.00000000000E+000
+2.75987400000E+007, +8.49191846596E+001, +0.00000000000E+000
+2.82487100000E+007, +8.42901380591E+001, +0.00000000000E+000
+2.88986800000E+007, +8.42823001652E+001, +0.00000000000E+000
+2.95486500000E+007, +8.29910016700E+001, +0.00000000000E+000
+3.01986200000E+007, +8.30297444459E+001, +0.00000000000E+000
+3.08485900000E+007, +8.28990632315E+001, +0.00000000000E+000
+3.14985600000E+007, +8.28287411179E+001, +0.00000000000E+000
+3.21485300000E+007, +8.25621204943E+001, +0.00000000000E+000
+3.27985000000E+007, +8.18995594735E+001, +0.00000000000E+000
+3.34484700000E+007, +8.21628528681E+001, +0.00000000000E+000
+3.40984400000E+007, +8.21123923605E+001, +0.00000000000E+000
+3.47484100000E+007, +8.26539831533E+001, +0.00000000000E+000
+3.53983800000E+007, +8.26892101057E+001, +0.00000000000E+000
+3.60483500000E+007, +8.27820786402E+001, +0.00000000000E+000
+3.66983200000E+007, +8.44254086481E+001, +0.00000000000E+000
+3.73482900000E+007, +8.42976199025E+001, +0.00000000000E+000
+3.79982600000E+007, +8.49341521690E+001, +0.00000000000E+000
+3.86482300000E+007, +8.48323828326E+001, +0.00000000000E+000
+3.92982000000E+007, +8.53542229832E+001, +0.00000000000E+000
+3.99481700000E+007, +8.57056338610E+001, +0.00000000000E+000
+4.05981400000E+007, +8.69318908180E+001, +0.00000000000E+000
+4.12481100000E+007, +8.84555244944E+001, +0.00000000000E+000
+4.18980800000E+007, +8.78486642723E+001, +0.00000000000E+000
+4.25480500000E+007, +8.66469456923E+001, +0.00000000000E+000
+4.31980200000E+007, +8.62411570167E+001, +0.00000000000E+000
+4.38479900000E+007, +8.62835596996E+001, +0.00000000000E+000
+4.44979600000E+007, +8.56775762774E+001, +0.00000000000E+000
+4.51479300000E+007, +8.51147658893E+001, +0.00000000000E+000
+4.57979000000E+007, +8.48204979418E+001, +0.00000000000E+000
+4.64478700000E+007, +8.51540896679E+001, +0.00000000000E+000
+4.70978400000E+007, +8.54436684828E+001, +0.00000000000E+000
+4.77478100000E+007, +8.48576813469E+001, +0.00000000000E+000
+4.83977800000E+007, +8.44492514632E+001, +0.00000000000E+000
+4.90477500000E+007, +8.35846688438E+001, +0.00000000000E+000
+4.96977200000E+007, +8.27536921624E+001, +0.00000000000E+000
+5.03476900000E+007, +8.18307469225E+001, +0.00000000000E+000
+5.09976600000E+007, +8.08632226082E+001, +0.00000000000E+000
+5.16476300000E+007, +7.99885026252E+001, +0.00000000000E+000
+5.22976000000E+007, +7.94989085457E+001, +0.00000000000E+000
+5.29475700000E+007, +7.94102474631E+001, +0.00000000000E+000
+5.35975400000E+007, +7.92001799791E+001, +0.00000000000E+000
+5.42475100000E+007, +7.87123495487E+001, +0.00000000000E+000
+5.48974800000E+007, +7.86158091074E+001, +0.00000000000E+000
+5.55474500000E+007, +7.80602857480E+001, +0.00000000000E+000
+5.61974200000E+007, +7.77038762894E+001, +0.00000000000E+000
+5.68473900000E+007, +7.66893274935E+001, +0.00000000000E+000
+5.74973600000E+007, +7.66039370497E+001, +0.00000000000E+000
+5.81473300000E+007, +7.57243030985E+001, +0.00000000000E+000
+5.87973000000E+007, +7.48670698166E+001, +0.00000000000E+000
+5.94472700000E+007, +7.45861956991E+001, +0.00000000000E+000
+6.00972400000E+007, +7.40423698581E+001, +0.00000000000E+000
+6.07472100000E+007, +7.39069643843E+001, +0.00000000000E+000
+6.13971800000E+007, +7.34117105023E+001, +0.00000000000E+000
+6.20471500000E+007, +7.31299039647E+001, +0.00000000000E+000
+6.26971200000E+007, +7.25786473515E+001, +0.00000000000E+000
+6.33470900000E+007, +7.24130406936E+001, +0.00000000000E+000
+6.39970600000E+007, +7.22191992880E+001, +0.00000000000E+000
+6.46470300000E+007, +7.21079679022E+001, +0.00000000000E+000
+6.52970000000E+007, +7.22027154271E+001, +0.00000000000E+000
+6.59469700000E+007, +7.16483017331E+001, +0.00000000000E+000
+6.65969400000E+007, +7.15988190505E+001, +0.00000000000E+000
+6.72469100000E+007, +7.10330039200E+001, +0.00000000000E+000
+6.78968800000E+007, +7.10979979159E+001, +0.00000000000E+000
+6.85468500000E+007, +7.09995794972E+001, +0.00000000000E+000
+6.91968200000E+007, +7.04568198189E+001, +0.00000000000E+000
+6.98467900000E+007, +7.02627451024E+001, +0.00000000000E+000
+7.04967600000E+007, +6.99920858757E+001, +0.00000000000E+000
+7.11467300000E+007, +6.97289322868E+001, +0.00000000000E+000
+7.17967000000E+007, +6.95410372287E+001, +0.00000000000E+000
+7.24466700000E+007, +6.93316383929E+001, +0.00000000000E+000
+7.30966400000E+007, +6.89370040702E+001, +0.00000000000E+000
+7.37466100000E+007, +6.87921109100E+001, +0.00000000000E+000
+7.43965800000E+007, +6.86307920424E+001, +0.00000000000E+000
+7.50465500000E+007, +6.84244451213E+001, +0.00000000000E+000
+7.56965200000E+007, +6.82645567709E+001, +0.00000000000E+000
+7.63464900000E+007, +6.83385362534E+001, +0.00000000000E+000
+7.69964600000E+007, +6.81866594915E+001, +0.00000000000E+000
+7.76464300000E+007, +6.81310071286E+001, +0.00000000000E+000
+7.82964000000E+007, +6.82155115443E+001, +0.00000000000E+000
+7.89463700000E+007, +6.80561302544E+001, +0.00000000000E+000
+7.95963400000E+007, +6.73376908869E+001, +0.00000000000E+000
+8.02463100000E+007, +6.71252724646E+001, +0.00000000000E+000
+8.08962800000E+007, +6.70761689697E+001, +0.00000000000E+000
+8.15462500000E+007, +6.70452564474E+001, +0.00000000000E+000
+8.21962200000E+007, +6.69138953345E+001, +0.00000000000E+000
+8.28461900000E+007, +6.65111679881E+001, +0.00000000000E+000
+8.34961600000E+007, +6.66738372218E+001, +0.00000000000E+000
+8.41461300000E+007, +6.67351344809E+001, +0.00000000000E+000
+8.47961000000E+007, +6.66351527188E+001, +0.00000000000E+000
+8.54460700000E+007, +6.67286557887E+001, +0.00000000000E+000
+8.60960400000E+007, +6.66623906629E+001, +0.00000000000E+000
+8.67460100000E+007, +6.65977569473E+001, +0.00000000000E+000
+8.73959800000E+007, +6.61546102368E+001, +0.00000000000E+000
+8.80459500000E+007, +6.61363882658E+001, +0.00000000000E+000
+8.86959200000E+007, +6.58145040121E+001, +0.00000000000E+000
+8.93458900000E+007, +6.57511285359E+001, +0.00000000000E+000
+8.99958600000E+007, +6.54701789420E+001, +0.00000000000E+000
+9.06458300000E+007, +6.56177059698E+001, +0.00000000000E+000
+9.12958000000E+007, +6.50295274051E+001, +0.00000000000E+000
+9.19457700000E+007, +6.49961864754E+001, +0.00000000000E+000
+9.25957400000E+007, +6.45477446701E+001, +0.00000000000E+000
+9.32457100000E+007, +6.46469070156E+001, +0.00000000000E+000
+9.38956800000E+007, +6.43819816887E+001, +0.00000000000E+000
+9.45456500000E+007, +6.40227931939E+001, +0.00000000000E+000
+9.51956200000E+007, +6.39259333864E+001, +0.00000000000E+000
+9.58455900000E+007, +6.37804297989E+001, +0.00000000000E+000
+9.64955600000E+007, +6.36020083692E+001, +0.00000000000E+000
+9.71455300000E+007, +6.34319719724E+001, +0.00000000000E+000
+9.77955000000E+007, +6.35676564977E+001, +0.00000000000E+000
+9.84454700000E+007, +6.30708127231E+001, +0.00000000000E+000
+9.90954400000E+007, +6.28150337627E+001, +0.00000000000E+000
+9.97454100000E+007, +6.28720397556E+001, +0.00000000000E+000
+1.00395380000E+008, +6.27609136004E+001, +0.00000000000E+000
+1.01045350000E+008, +6.28751027572E+001, +0.00000000000E+000
+1.01695320000E+008, +6.27151232114E+001, +0.00000000000E+000
+1.02345290000E+008, +6.25985811656E+001, +0.00000000000E+000
+1.02995260000E+008, +6.23456740759E+001, +0.00000000000E+000
+1.03645230000E+008, +6.22932680098E+001, +0.00000000000E+000
+1.04295200000E+008, +6.22951776784E+001, +0.00000000000E+000
+1.04945170000E+008, +6.20391623039E+001, +0.00000000000E+000
+1.05595140000E+008, +6.20296921170E+001, +0.00000000000E+000
+1.06245110000E+008, +6.19681973285E+001, +0.00000000000E+000
+1.06895080000E+008, +6.20291445535E+001, +0.00000000000E+000
+1.07545050000E+008, +6.19323184806E+001, +0.00000000000E+000
+1.08195020000E+008, +6.21057271297E+001, +0.00000000000E+000
+1.08844990000E+008, +6.18306024857E+001, +0.00000000000E+000
+1.09494960000E+008, +6.20346710435E+001, +0.00000000000E+000
+1.10144930000E+008, +6.17727004742E+001, +0.00000000000E+000
+1.10794900000E+008, +6.14440875106E+001, +0.00000000000E+000
+1.11444870000E+008, +6.13400374354E+001, +0.00000000000E+000
+1.12094840000E+008, +6.11068716714E+001, +0.00000000000E+000
+1.12744810000E+008, +6.06068663849E+001, +0.00000000000E+000
+1.13394780000E+008, +6.04633891581E+001, +0.00000000000E+000
+1.14044750000E+008, +6.00988254669E+001, +0.00000000000E+000
+1.14694720000E+008, +5.96114439641E+001, +0.00000000000E+000
+1.15344690000E+008, +5.91582902675E+001, +0.00000000000E+000
+1.15994660000E+008, +5.87456746779E+001, +0.00000000000E+000
+1.16644630000E+008, +5.84129809195E+001, +0.00000000000E+000
+1.17294600000E+008, +5.82608655181E+001, +0.00000000000E+000
+1.17944570000E+008, +5.79741736428E+001, +0.00000000000E+000
+1.18594540000E+008, +5.79185705055E+001, +0.00000000000E+000
+1.19244510000E+008, +5.77976322492E+001, +0.00000000000E+000
+1.19894480000E+008, +5.78261469404E+001, +0.00000000000E+000
+1.20544450000E+008, +5.75749985492E+001, +0.00000000000E+000
+1.21194420000E+008, +5.77612299047E+001, +0.00000000000E+000
+1.21844390000E+008, +5.77608759677E+001, +0.00000000000E+000
+1.22494360000E+008, +5.77419316279E+001, +0.00000000000E+000
+1.23144330000E+008, +5.80364922783E+001, +0.00000000000E+000
+1.23794300000E+008, +5.80326290260E+001, +0.00000000000E+000
+1.24444270000E+008, +5.81433511631E+001, +0.00000000000E+000
+1.25094240000E+008, +5.83193528079E+001, +0.00000000000E+000
+1.25744210000E+008, +5.84010966941E+001, +0.00000000000E+000
+1.26394180000E+008, +5.87594260800E+001, +0.00000000000E+000
+1.27044150000E+008, +5.87407576987E+001, +0.00000000000E+000
+1.27694120000E+008, +5.93297069488E+001, +0.00000000000E+000
+1.28344090000E+008, +5.94139615451E+001, +0.00000000000E+000
+1.28994060000E+008, +5.95207537919E+001, +0.00000000000E+000
+1.29644030000E+008, +5.96960029494E+001, +0.00000000000E+000
+1.30294000000E+008, +5.98130098176E+001, +0.00000000000E+000
+1.30943970000E+008, +6.03931811085E+001, +0.00000000000E+000
+1.31593940000E+008, +6.10571551102E+001, +0.00000000000E+000
+1.32243910000E+008, +6.16878818558E+001, +0.00000000000E+000
+1.32893880000E+008, +6.23506089745E+001, +0.00000000000E+000
+1.33543850000E+008, +6.30402091523E+001, +0.00000000000E+000
+1.34193820000E+008, +6.37865500137E+001, +0.00000000000E+000
+1.34843790000E+008, +6.44402117811E+001, +0.00000000000E+000
+1.35493760000E+008, +6.52905188338E+001, +0.00000000000E+000
+1.36143730000E+008, +6.62751063018E+001, +0.00000000000E+000
+1.36793700000E+008, +6.75363626692E+001, +0.00000000000E+000
+1.37443670000E+008, +6.88257413127E+001, +0.00000000000E+000
+1.38093640000E+008, +6.99636872570E+001, +0.00000000000E+000
+1.38743610000E+008, +7.13851270828E+001, +0.00000000000E+000
+1.39393580000E+008, +7.23698420842E+001, +0.00000000000E+000
+1.40043550000E+008, +7.34837528012E+001, +0.00000000000E+000
+1.40693520000E+008, +7.43710282377E+001, +0.00000000000E+000
+1.41343490000E+008, +7.54497747969E+001, +0.00000000000E+000
+1.41993460000E+008, +7.64671146153E+001, +0.00000000000E+000
+1.42643430000E+008, +7.75167263609E+001, +0.00000000000E+000
+1.43293400000E+008, +7.82102882436E+001, +0.00000000000E+000
+1.43943370000E+008, +7.87739354193E+001, +0.00000000000E+000
+1.44593340000E+008, +7.90894728319E+001, +0.00000000000E+000
+1.45243310000E+008, +7.87441973434E+001, +0.00000000000E+000
+1.45893280000E+008, +7.78865105802E+001, +0.00000000000E+000
+1.46543250000E+008, +7.63989957816E+001, +0.00000000000E+000
+1.47193220000E+008, +7.50021711021E+001, +0.00000000000E+000
+1.47843190000E+008, +7.35505027757E+001, +0.00000000000E+000
+1.48493160000E+008, +7.20236161931E+001, +0.00000000000E+000
+1.49143130000E+008, +7.06133265334E+001, +0.00000000000E+000
+1.49793100000E+008, +6.93914135746E+001, +0.00000000000E+000
+1.50443070000E+008, +6.83637759856E+001, +0.00000000000E+000
+1.51093040000E+008, +6.76405065417E+001, +0.00000000000E+000
+1.51743010000E+008, +6.65568259173E+001, +0.00000000000E+000
+1.52392980000E+008, +6.59723169199E+001, +0.00000000000E+000
+1.53042950000E+008, +6.53129681127E+001, +0.00000000000E+000
+1.53692920000E+008, +6.46319753759E+001, +0.00000000000E+000
+1.54342890000E+008, +6.41367521142E+001, +0.00000000000E+000
+1.54992860000E+008, +6.35648894694E+001, +0.00000000000E+000
+1.55642830000E+008, +6.29678360903E+001, +0.00000000000E+000
+1.56292800000E+008, +6.25899120044E+001, +0.00000000000E+000
+1.56942770000E+008, +6.22185810853E+001, +0.00000000000E+000
+1.57592740000E+008, +6.17677100717E+001, +0.00000000000E+000
+1.58242710000E+008, +6.12242791223E+001, +0.00000000000E+000
+1.58892680000E+008, +6.05632898592E+001, +0.00000000000E+000
+1.59542650000E+008, +5.98077117783E+001, +0.00000000000E+000
+1.60192620000E+008, +5.91373443520E+001, +0.00000000000E+000
+1.60842590000E+008, +5.84921545578E+001, +0.00000000000E+000
+1.61492560000E+008, +5.76883536326E+001, +0.00000000000E+000
+1.62142530000E+008, +5.70207100450E+001, +0.00000000000E+000
+1.62792500000E+008, +5.63721363172E+001, +0.00000000000E+000
+1.63442470000E+008, +5.58417883449E+001, +0.00000000000E+000
+1.64092440000E+008, +5.54544927514E+001, +0.00000000000E+000
+1.64742410000E+008, +5.51365363089E+001, +0.00000000000E+000
+1.65392380000E+008, +5.51216718682E+001, +0.00000000000E+000
+1.66042350000E+008, +5.52800768320E+001, +0.00000000000E+000
+1.66692320000E+008, +5.55311378687E+001, +0.00000000000E+000
+1.67342290000E+008, +5.59322745842E+001, +0.00000000000E+000
+1.67992260000E+008, +5.63593290328E+001, +0.00000000000E+000
+1.68642230000E+008, +5.66392453397E+001, +0.00000000000E+000
+1.69292200000E+008, +5.69955319283E+001, +0.00000000000E+000
+1.69942170000E+008, +5.72206613913E+001, +0.00000000000E+000
+1.70592140000E+008, +5.72644476960E+001, +0.00000000000E+000
+1.71242110000E+008, +5.72244863923E+001, +0.00000000000E+000
+1.71892080000E+008, +5.73581252455E+001, +0.00000000000E+000
+1.72542050000E+008, +5.73561687054E+001, +0.00000000000E+000
+1.73192020000E+008, +5.75207384152E+001, +0.00000000000E+000
+1.73841990000E+008, +5.73486259775E+001, +0.00000000000E+000
+1.74491960000E+008, +5.74514719967E+001, +0.00000000000E+000
+1.75141930000E+008, +5.73263728576E+001, +0.00000000000E+000
+1.75791900000E+008, +5.72130910440E+001, +0.00000000000E+000
+1.76441870000E+008, +5.72729872687E+001, +0.00000000000E+000
+1.77091840000E+008, +5.71809818032E+001, +0.00000000000E+000
+1.77741810000E+008, +5.69558047643E+001, +0.00000000000E+000
+1.78391780000E+008, +5.65612971629E+001, +0.00000000000E+000
+1.79041750000E+008, +5.59993025280E+001, +0.00000000000E+000
+1.79691720000E+008, +5.52864196434E+001, +0.00000000000E+000
+1.80341690000E+008, +5.43698377803E+001, +0.00000000000E+000
+1.80991660000E+008, +5.33670909675E+001, +0.00000000000E+000
+1.81641630000E+008, +5.24762759999E+001, +0.00000000000E+000
+1.82291600000E+008, +5.14859803994E+001, +0.00000000000E+000
+1.82941570000E+008, +5.08583140595E+001, +0.00000000000E+000
+1.83591540000E+008, +5.04140335177E+001, +0.00000000000E+000
+1.84241510000E+008, +4.99982766579E+001, +0.00000000000E+000
+1.84891480000E+008, +4.97216535507E+001, +0.00000000000E+000
+1.85541450000E+008, +4.92994619818E+001, +0.00000000000E+000
+1.86191420000E+008, +4.88629918093E+001, +0.00000000000E+000
+1.86841390000E+008, +4.82390927841E+001, +0.00000000000E+000
+1.87491360000E+008, +4.76926195830E+001, +0.00000000000E+000
+1.88141330000E+008, +4.72076040572E+001, +0.00000000000E+000
+1.88791300000E+008, +4.67552281056E+001, +0.00000000000E+000
+1.89441270000E+008, +4.64272289833E+001, +0.00000000000E+000
+1.90091240000E+008, +4.59649832840E+001, +0.00000000000E+000
+1.90741210000E+008, +4.55563474383E+001, +0.00000000000E+000
+1.91391180000E+008, +4.50654927383E+001, +0.00000000000E+000
+1.92041150000E+008, +4.46596069327E+001, +0.00000000000E+000
+1.92691120000E+008, +4.42053545379E+001, +0.00000000000E+000
+1.93341090000E+008, +4.36996980854E+001, +0.00000000000E+000
+1.93991060000E+008, +4.34489023610E+001, +0.00000000000E+000
+1.94641030000E+008, +4.31865580329E+001, +0.00000000000E+000
+1.95291000000E+008, +4.29396836156E+001, +0.00000000000E+000
+1.95940970000E+008, +4.27718071392E+001, +0.00000000000E+000
+1.96590940000E+008, +4.27422193589E+001, +0.00000000000E+000
+1.97240910000E+008, +4.25804785037E+001, +0.00000000000E+000
+1.97890880000E+008, +4.26588053498E+001, +0.00000000000E+000
+1.98540850000E+008, +4.27190581531E+001, +0.00000000000E+000
+1.99190820000E+008, +4.29317581401E+001, +0.00000000000E+000
+1.99840790000E+008, +4.30879270470E+001, +0.00000000000E+000
+2.00490760000E+008, +4.31614538555E+001, +0.00000000000E+000
+2.01140730000E+008, +4.31041328682E+001, +0.00000000000E+000
+2.01790700000E+008, +4.30566548602E+001, +0.00000000000E+000
+2.02440670000E+008, +4.29340169876E+001, +0.00000000000E+000
+2.03090640000E+008, +4.27136415933E+001, +0.00000000000E+000
+2.03740610000E+008, +4.26266779996E+001, +0.00000000000E+000
+2.04390580000E+008, +4.25446537578E+001, +0.00000000000E+000
+2.05040550000E+008, +4.24277160285E+001, +0.00000000000E+000
+2.05690520000E+008, +4.23418923715E+001, +0.00000000000E+000
+2.06340490000E+008, +4.22799921152E+001, +0.00000000000E+000
+2.06990460000E+008, +4.21895243832E+001, +0.00000000000E+000
+2.07640430000E+008, +4.22606844149E+001, +0.00000000000E+000
+2.08290400000E+008, +4.25324820592E+001, +0.00000000000E+000
+2.08940370000E+008, +4.28040764185E+001, +0.00000000000E+000
+2.09590340000E+008, +4.32584121247E+001, +0.00000000000E+000
+2.10240310000E+008, +4.36093516366E+001, +0.00000000000E+000
+2.10890280000E+008, +4.39797332575E+001, +0.00000000000E+000
+2.11540250000E+008, +4.41861698301E+001, +0.00000000000E+000
