Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	5.264226e-002	-6.327013e-001	-8.781601e+001	-7.488071e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	-1.685533e-004	-5.933583e-001	-8.338833e+001	-1.747726e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	2.683462e-004	-7.687772e-001	-8.443946e+001	1.376725e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	-2.847264e-004	-9.590684e-001	-8.648835e+001	1.541258e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	-1.076703e-004	-1.151676e+000	-8.056382e+001	7.539312e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	2.507104e-003	-1.371852e+000	-7.458974e+001	1.086795e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	1.592942e-003	-1.570787e+000	-7.632321e+001	1.134687e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	1.167938e-003	-1.780223e+000	-7.625589e+001	1.044490e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	-3.644005e-004	-1.979022e+000	-7.427240e+001	1.042926e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	-7.049415e-004	-2.193478e+000	-7.484109e+001	1.028686e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	-1.056773e-003	-2.393018e+000	-7.287946e+001	9.915097e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	-5.669786e-004	-2.608989e+000	-7.084817e+001	8.902386e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	1.480592e-005	-2.808490e+000	-7.058325e+001	8.390510e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	1.847347e-003	-3.026387e+000	-7.066326e+001	8.822628e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	1.144096e-003	-3.236232e+000	-7.042921e+001	8.813114e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	9.770297e-004	-3.443094e+000	-6.975044e+001	8.537468e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	1.936805e-004	-3.636151e+000	-6.910552e+001	8.642449e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-1.790303e-003	-3.837358e+000	-6.852774e+001	8.598146e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-2.308573e-003	-4.042357e+000	-6.832693e+001	8.751982e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	-9.662724e-004	-4.257014e+000	-6.769373e+001	8.649231e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	5.150232e-004	-4.473389e+000	-6.740202e+001	8.608958e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	-1.259914e-003	-4.670147e+000	-6.696727e+001	8.685106e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
14399780.000	-1.759279e-003	-4.886744e+000	-6.640223e+001	8.422188e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15049770.000	-1.762806e-003	-5.098716e+000	-6.614982e+001	8.584202e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15699760.000	2.079444e-005	-5.286022e+000	-6.584489e+001	8.516235e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16349750.000	-2.509026e-004	-5.489571e+000	-6.519626e+001	8.530609e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16999740.000	-2.659141e-003	-5.704186e+000	-6.522720e+001	8.373623e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
17649730.000	4.409518e-003	-5.937245e+000	-6.461688e+001	8.517897e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18299720.000	7.145488e-003	-6.155060e+000	-6.446380e+001	8.484786e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18949710.000	6.871428e-003	-6.355278e+000	-6.429715e+001	8.444607e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
19599700.000	8.178474e-004	-6.531919e+000	-6.393830e+001	8.415765e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20249690.000	-2.973881e-003	-6.725728e+000	-6.363933e+001	8.487248e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20899680.000	-4.549390e-003	-6.961435e+000	-6.340563e+001	8.455119e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
21549670.000	-4.959278e-003	-7.176918e+000	-6.331944e+001	8.505603e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
