Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	4.986017e-002	-5.958216e-001	-8.848510e+001	-1.606159e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	1.023688e-003	-5.773959e-001	-9.041887e+001	1.694851e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	2.480541e-003	-7.555857e-001	-8.114451e+001	-1.758404e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	9.569139e-005	-9.483214e-001	-7.749037e+001	1.111022e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	1.455102e-004	-1.140814e+000	-7.852444e+001	1.026276e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	1.489765e-003	-1.352738e+000	-7.725948e+001	8.399699e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	2.608592e-003	-1.560864e+000	-7.576924e+001	8.469919e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	2.640281e-003	-1.774499e+000	-7.808287e+001	7.929536e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	1.230603e-003	-1.967837e+000	-7.336186e+001	9.213115e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	5.498025e-004	-2.179222e+000	-7.480564e+001	8.012349e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	1.367122e-003	-2.383769e+000	-7.426420e+001	9.489400e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	6.293196e-004	-2.589534e+000	-7.172109e+001	1.001034e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	-1.719691e-005	-2.800846e+000	-6.969617e+001	8.992083e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	2.660960e-003	-3.017384e+000	-7.083894e+001	8.830424e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	1.877203e-003	-3.224436e+000	-7.032634e+001	8.999448e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	1.843796e-003	-3.430106e+000	-6.969083e+001	8.894122e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	1.177908e-003	-3.628686e+000	-6.925511e+001	8.637090e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-5.502035e-004	-3.825427e+000	-6.883179e+001	8.690642e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-1.025228e-003	-4.031835e+000	-6.818076e+001	8.536782e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	4.464558e-004	-4.240204e+000	-6.779620e+001	8.565900e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	1.214437e-003	-4.455618e+000	-6.739812e+001	8.533758e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	1.106071e-004	-4.660162e+000	-6.678893e+001	8.727553e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
14399780.000	-9.249951e-004	-4.869253e+000	-6.649040e+001	8.548267e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15049770.000	-1.057481e-003	-5.087412e+000	-6.609549e+001	8.587523e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15699760.000	8.564164e-004	-5.273952e+000	-6.593843e+001	8.441746e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16349750.000	8.667774e-004	-5.473502e+000	-6.544552e+001	8.560652e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16999740.000	-1.394196e-003	-5.694351e+000	-6.501945e+001	8.534036e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
17649730.000	5.993277e-003	-5.923710e+000	-6.492098e+001	8.478142e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18299720.000	8.647895e-003	-6.141194e+000	-6.470595e+001	8.477358e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18949710.000	7.611670e-003	-6.344748e+000	-6.448818e+001	8.431016e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
19599700.000	1.891289e-003	-6.521946e+000	-6.406628e+001	8.476215e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20249690.000	-1.833088e-003	-6.712193e+000	-6.378472e+001	8.560897e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20899680.000	-3.574619e-003	-6.951106e+000	-6.364074e+001	8.493030e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
21549670.000	-3.611393e-003	-7.166520e+000	-6.330845e+001	8.518597e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22199660.000	-2.529602e-003	-7.361940e+000	-6.316165e+001	8.611666e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22849650.000	1.045767e-003	-7.538835e+000	-6.300909e+001	8.693279e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
23499640.000	-3.402698e-004	-7.743848e+000	-6.245164e+001	8.923980e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24149630.000	-1.792198e-003	-7.954152e+000	-6.197763e+001	8.911158e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24799620.000	-2.069900e-003	-8.162106e+000	-6.156403e+001	8.774049e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
25449610.000	1.347607e-003	-8.368877e+000	-6.122227e+001	8.670595e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26099600.000	8.186733e-004	-8.573778e+000	-6.095017e+001	8.542345e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26749590.000	-2.449931e-004	-8.776413e+000	-6.055972e+001	8.592659e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
27399580.000	-8.780223e-004	-8.992128e+000	-6.063358e+001	8.448747e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
28049570.000	1.597368e-004	-9.204237e+000	-6.029256e+001	8.512884e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
28699560.000	-6.626297e-004	-9.400194e+000	-5.997413e+001	8.331638e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
29349550.000	-2.218798e-004	-9.601045e+000	-5.970069e+001	8.177728e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
29999540.000	-6.585384e-004	-9.807812e+000	-5.962756e+001	8.206969e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
30649530.000	-1.105593e-003	-1.001650e+001	-5.957347e+001	8.152756e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
31299520.000	-1.802338e-004	-1.023751e+001	-5.935436e+001	8.140926e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
31949510.000	-7.528915e-004	-1.043990e+001	-5.921735e+001	8.088782e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
32599500.000	-1.242432e-003	-1.064421e+001	-5.906159e+001	8.109055e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
33249490.000	-1.402665e-003	-1.085385e+001	-5.884769e+001	8.128667e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
33899480.000	-1.534208e-003	-1.106619e+001	-5.871795e+001	8.025753e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
34549470.000	-1.796727e-003	-1.125883e+001	-5.857876e+001	8.040253e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
35199460.000	-1.936582e-003	-1.146465e+001	-5.848950e+001	7.967223e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
35849450.000	-1.594688e-003	-1.166890e+001	-5.828359e+001	7.993432e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
36499440.000	-1.906479e-003	-1.187442e+001	-5.815721e+001	7.951177e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
37149430.000	-2.214000e-003	-1.207962e+001	-5.797371e+001	7.927054e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
37799420.000	-2.066203e-003	-1.229172e+001	-5.779755e+001	7.933161e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
38449410.000	-2.817856e-003	-1.249794e+001	-5.771405e+001	7.868258e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
39099400.000	-2.544909e-003	-1.270930e+001	-5.762423e+001	7.830442e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
39749390.000	-3.384081e-003	-1.291938e+001	-5.749060e+001	7.814600e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
40399380.000	-3.879498e-003	-1.312876e+001	-5.737386e+001	7.829398e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
41049370.000	-3.678685e-003	-1.333808e+001	-5.727887e+001	7.817905e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
41699360.000	-2.230857e-003	-1.354336e+001	-5.710153e+001	7.799640e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
42349350.000	-2.104923e-003	-1.374235e+001	-5.700605e+001	7.777530e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
42999340.000	-3.491432e-003	-1.394763e+001	-5.690493e+001	7.704174e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
43649330.000	-3.681417e-003	-1.415507e+001	-5.680444e+001	7.745950e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
44299320.000	-3.775823e-003	-1.436855e+001	-5.675907e+001	7.736267e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
44949310.000	-3.525164e-003	-1.457612e+001	-5.658117e+001	7.718612e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
45599300.000	-3.820661e-003	-1.478676e+001	-5.653915e+001	7.668685e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
46249290.000	-4.628843e-003	-1.499192e+001	-5.634282e+001	7.663332e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
46899280.000	-4.941877e-003	-1.519696e+001	-5.631855e+001	7.624564e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
47549270.000	-6.284801e-003	-1.540261e+001	-5.616263e+001	7.640822e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
48199260.000	-7.023267e-003	-1.561309e+001	-5.619319e+001	7.663317e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
48849250.000	-8.212384e-003	-1.582374e+001	-5.602690e+001	7.638602e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
49499240.000	-8.193901e-003	-1.602769e+001	-5.593340e+001	7.660952e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
50149230.000	-9.020384e-003	-1.623972e+001	-5.591439e+001	7.618703e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
50799220.000	-8.562578e-003	-1.644626e+001	-5.579717e+001	7.668938e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
51449210.000	-8.166303e-003	-1.665774e+001	-5.574639e+001	7.681611e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
52099200.000	-8.256181e-003	-1.685826e+001	-5.559558e+001	7.742071e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
52749190.000	-9.150500e-003	-1.706751e+001	-5.550186e+001	7.734815e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
53399180.000	-9.384203e-003	-1.727546e+001	-5.547199e+001	7.759106e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
54049170.000	-9.416103e-003	-1.748515e+001	-5.536410e+001	7.860311e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
54699160.000	-9.927062e-003	-1.769269e+001	-5.522164e+001	7.876063e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
55349150.000	-1.029660e-002	-1.790059e+001	-5.502583e+001	7.925574e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
55999140.000	-1.101776e-002	-1.810924e+001	-5.492061e+001	7.972938e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
