Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	5.416242e-002	-6.481852e-001	-7.821809e+001	6.782979e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	1.095777e-003	-6.077084e-001	-9.619064e+001	-5.599781e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	1.421259e-003	-7.748253e-001	-8.611617e+001	8.635156e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	8.959704e-004	-9.759700e-001	-7.484538e+001	1.202412e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	2.689049e-003	-1.163798e+000	-8.019822e+001	1.209050e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	2.636664e-003	-1.372503e+000	-7.962627e+001	6.537680e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	1.957140e-003	-1.573193e+000	-7.840833e+001	1.024070e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	2.282124e-003	-1.792336e+000	-8.084301e+001	1.046304e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	1.386755e-003	-1.987298e+000	-7.441027e+001	8.227164e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	1.444629e-003	-2.198976e+000	-7.425162e+001	8.600085e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	1.204684e-003	-2.401817e+000	-7.326243e+001	9.300279e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	8.718593e-004	-2.611376e+000	-7.222413e+001	8.905778e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	8.514470e-004	-2.819112e+000	-7.117382e+001	9.042697e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	2.895170e-003	-3.038149e+000	-7.125301e+001	8.889494e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	2.237975e-003	-3.242720e+000	-7.004941e+001	8.617117e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	1.848418e-003	-3.451575e+000	-6.948747e+001	8.816565e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	1.612588e-003	-3.645139e+000	-6.904608e+001	8.628853e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-6.872622e-004	-3.844486e+000	-6.904466e+001	8.826144e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-1.075232e-003	-4.050369e+000	-6.829239e+001	8.580286e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	-1.881571e-004	-4.259384e+000	-6.762921e+001	8.831109e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	1.310192e-003	-4.477252e+000	-6.726827e+001	8.557907e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	2.425597e-004	-4.680562e+000	-6.703478e+001	8.570731e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
14399780.000	-1.852271e-004	-4.891040e+000	-6.646868e+001	8.671767e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15049770.000	-1.174322e-003	-5.109696e+000	-6.614384e+001	8.526920e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15699760.000	7.855520e-004	-5.294468e+000	-6.620437e+001	8.563012e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16349750.000	1.284395e-003	-5.495574e+000	-6.537132e+001	8.574248e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16999740.000	-6.791773e-004	-5.710289e+000	-6.494321e+001	8.502796e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
17649730.000	6.239731e-003	-5.944846e+000	-6.459881e+001	8.563472e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18299720.000	8.759226e-003	-6.160196e+000	-6.454392e+001	8.551495e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18949710.000	7.815992e-003	-6.362665e+000	-6.411516e+001	8.563357e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
19599700.000	2.373535e-003	-6.540368e+000	-6.393148e+001	8.478759e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20249690.000	-1.175686e-003	-6.731239e+000	-6.380825e+001	8.508108e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20899680.000	-2.457150e-003	-6.970458e+000	-6.349604e+001	8.507941e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
21549670.000	-3.079334e-003	-7.184490e+000	-6.321771e+001	8.443403e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22199660.000	-2.353109e-003	-7.379398e+000	-6.298773e+001	8.496571e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22849650.000	1.315854e-003	-7.555461e+000	-6.300023e+001	8.604668e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
23499640.000	3.774136e-004	-7.761521e+000	-6.261428e+001	8.715425e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24149630.000	-1.843981e-003	-7.969576e+000	-6.205530e+001	8.786448e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24799620.000	-1.590690e-003	-8.177797e+000	-6.164192e+001	8.759991e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
25449610.000	1.376059e-003	-8.383275e+000	-6.123502e+001	8.687071e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26099600.000	9.343783e-004	-8.590707e+000	-6.093254e+001	8.554455e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26749590.000	-7.709520e-005	-8.794825e+000	-6.074178e+001	8.439069e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
27399580.000	-2.902147e-004	-9.004401e+000	-6.054480e+001	8.488611e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
28049570.000	8.678857e-004	-9.215285e+000	-6.024502e+001	8.456254e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
28699560.000	7.802432e-005	-9.417294e+000	-5.997673e+001	8.328506e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
29349550.000	2.917992e-004	-9.616188e+000	-5.975024e+001	8.321257e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
29999540.000	3.712281e-004	-9.818069e+000	-5.969248e+001	8.311712e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
30649530.000	-1.067824e-003	-1.003092e+001	-5.950218e+001	8.203023e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
31299520.000	-3.903512e-005	-1.024848e+001	-5.926342e+001	8.180962e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
31949510.000	-7.845087e-004	-1.045551e+001	-5.918412e+001	8.124510e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
32599500.000	-4.799566e-004	-1.066320e+001	-5.902177e+001	8.125511e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
33249490.000	-5.296906e-004	-1.087087e+001	-5.880922e+001	8.141306e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
33899480.000	-1.780756e-003	-1.107570e+001	-5.873582e+001	8.115263e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
34549470.000	-1.479421e-003	-1.127456e+001	-5.845029e+001	8.040210e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
35199460.000	-8.871340e-004	-1.147474e+001	-5.849911e+001	8.000156e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
35849450.000	-1.632316e-003	-1.168158e+001	-5.824439e+001	7.987328e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
36499440.000	-1.495675e-003	-1.188851e+001	-5.812529e+001	8.036581e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
37149430.000	-1.903892e-003	-1.209507e+001	-5.791916e+001	7.960151e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
37799420.000	-1.946788e-003	-1.230218e+001	-5.779001e+001	7.925229e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
38449410.000	-1.890279e-003	-1.251386e+001	-5.773317e+001	7.897714e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
39099400.000	-2.367571e-003	-1.272021e+001	-5.751813e+001	7.875914e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
39749390.000	-3.135545e-003	-1.293396e+001	-5.738286e+001	7.848075e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
40399380.000	-3.537830e-003	-1.314620e+001	-5.723435e+001	7.883744e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
41049370.000	-3.536743e-003	-1.334842e+001	-5.716383e+001	7.859862e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
41699360.000	-2.047867e-003	-1.355299e+001	-5.701901e+001	7.796481e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
42349350.000	-1.731217e-003	-1.375895e+001	-5.687189e+001	7.809879e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
42999340.000	-2.943487e-003	-1.396587e+001	-5.669759e+001	7.762060e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
43649330.000	-2.963078e-003	-1.417282e+001	-5.666778e+001	7.740349e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
44299320.000	-2.923753e-003	-1.437825e+001	-5.658890e+001	7.679123e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
44949310.000	-2.993902e-003	-1.458850e+001	-5.643054e+001	7.736697e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
45599300.000	-3.068225e-003	-1.479660e+001	-5.630668e+001	7.722971e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
46249290.000	-3.952923e-003	-1.500475e+001	-5.623125e+001	7.657254e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
46899280.000	-4.265145e-003	-1.521041e+001	-5.616068e+001	7.613611e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
