Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	4.965130e-002	-6.022938e-001	-9.827485e+001	-1.454368e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	-9.609863e-005	-5.756476e-001	-8.429140e+001	-6.273360e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	4.550147e-004	-7.532833e-001	-8.212650e+001	-1.794480e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	-7.478946e-004	-9.481215e-001	-8.605911e+001	1.144452e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	3.321947e-004	-1.140435e+000	-8.312694e+001	9.492766e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	1.228074e-003	-1.355695e+000	-8.193790e+001	1.149331e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	1.267083e-003	-1.558519e+000	-7.847008e+001	7.388823e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	1.861660e-003	-1.776399e+000	-7.615985e+001	1.050509e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	9.868001e-004	-1.975740e+000	-7.303054e+001	9.811913e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	4.299184e-004	-2.180064e+000	-7.545187e+001	8.949029e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	-6.988761e-004	-2.387555e+000	-7.470482e+001	9.195226e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	8.283516e-005	-2.584250e+000	-7.246065e+001	7.956676e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	-1.029452e-004	-2.796433e+000	-7.150274e+001	9.006308e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	2.385348e-003	-3.016347e+000	-7.110219e+001	8.771226e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	1.204518e-003	-3.224238e+000	-7.055723e+001	8.699424e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	1.195837e-003	-3.434505e+000	-6.999453e+001	8.634064e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	1.037070e-003	-3.629712e+000	-6.917921e+001	8.715137e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-1.256826e-003	-3.828085e+000	-6.881819e+001	8.779783e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-1.561237e-003	-4.029523e+000	-6.813422e+001	8.592427e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	-6.224102e-004	-4.245328e+000	-6.764589e+001	8.695370e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	4.097198e-004	-4.459244e+000	-6.721615e+001	8.615459e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	-3.556153e-004	-4.662588e+000	-6.698536e+001	8.613541e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
14399780.000	-9.229400e-004	-4.872588e+000	-6.660483e+001	8.693275e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15049770.000	-1.651143e-003	-5.093194e+000	-6.607145e+001	8.496040e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15699760.000	1.972850e-005	-5.274786e+000	-6.572927e+001	8.557305e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16349750.000	-3.978438e-005	-5.480704e+000	-6.552735e+001	8.675249e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16999740.000	-2.635226e-003	-5.695119e+000	-6.519354e+001	8.459440e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
17649730.000	5.115275e-003	-5.924065e+000	-6.459339e+001	8.199787e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18299720.000	7.945261e-003	-6.144962e+000	-6.460104e+001	8.463111e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18949710.000	6.516124e-003	-6.347652e+000	-6.414777e+001	8.495957e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
19599700.000	1.456674e-003	-6.525431e+000	-6.396808e+001	8.483705e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
