Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	5.124617e-002	-6.332609e-001	-8.516328e+001	4.169343e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	1.129181e-003	-6.024685e-001	-8.378683e+001	-1.557161e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	1.700097e-003	-7.698645e-001	-8.911360e+001	-6.553351e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	1.289431e-003	-9.695753e-001	-7.615857e+001	1.521047e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	3.194710e-004	-1.163972e+000	-7.771084e+001	9.070275e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	3.338495e-003	-1.383379e+000	-7.728780e+001	8.850088e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	2.032287e-003	-1.571733e+000	-7.774141e+001	1.074396e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	2.847257e-003	-1.782629e+000	-7.410745e+001	8.819851e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	1.870536e-003	-1.987501e+000	-7.314074e+001	8.464995e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	1.714465e-003	-2.191843e+000	-7.273040e+001	7.363552e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	7.034881e-004	-2.400087e+000	-7.460345e+001	9.281406e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	2.317195e-004	-2.604525e+000	-7.078361e+001	8.078624e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	7.755317e-004	-2.818648e+000	-7.099362e+001	8.908197e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	2.991855e-003	-3.036075e+000	-7.052856e+001	8.681980e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	1.641261e-003	-3.242925e+000	-7.019707e+001	8.839114e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	1.986210e-003	-3.452920e+000	-6.975074e+001	8.691901e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	9.433238e-004	-3.645011e+000	-6.937377e+001	8.674529e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-1.049169e-003	-3.842185e+000	-6.887049e+001	8.522204e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-1.080240e-003	-4.046588e+000	-6.801435e+001	8.724710e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
