Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	5.355077e-002	-6.304673e-001	-8.339771e+001	7.106853e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	1.644122e-003	-5.828508e-001	-9.223854e+001	-8.878339e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	2.530372e-003	-7.600482e-001	-9.259409e+001	-1.006041e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	5.941016e-004	-9.656197e-001	-7.888598e+001	1.618987e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	4.353083e-004	-1.153376e+000	-9.019010e+001	1.131793e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	1.257116e-003	-1.367788e+000	-7.859911e+001	6.580454e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	1.565431e-003	-1.570395e+000	-7.362372e+001	8.624906e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	1.508982e-003	-1.778731e+000	-7.605910e+001	8.141214e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	1.342011e-003	-1.978735e+000	-7.818173e+001	1.002854e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	8.478028e-004	-2.187779e+000	-7.350734e+001	7.422493e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	3.402932e-004	-2.390239e+000	-7.347334e+001	9.567371e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	8.716297e-004	-2.600553e+000	-7.171589e+001	8.999889e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	-9.672903e-005	-2.815740e+000	-7.348386e+001	9.798016e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	3.269238e-003	-3.027113e+000	-7.102846e+001	8.531026e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	1.656958e-003	-3.228752e+000	-7.027429e+001	8.599038e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	1.186234e-003	-3.440524e+000	-6.979998e+001	8.806081e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	1.170771e-003	-3.632828e+000	-6.944720e+001	8.636752e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-9.985190e-004	-3.833922e+000	-6.871434e+001	8.648164e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-1.532287e-003	-4.039522e+000	-6.793726e+001	8.614850e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	-2.371575e-004	-4.252586e+000	-6.726359e+001	8.640594e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	1.499278e-003	-4.465288e+000	-6.726518e+001	8.544257e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	-1.158552e-004	-4.668467e+000	-6.693663e+001	8.587158e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
14399780.000	-8.833490e-004	-4.880571e+000	-6.631554e+001	8.634693e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15049770.000	-1.079562e-003	-5.099103e+000	-6.615575e+001	8.718747e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15699760.000	6.899698e-004	-5.283644e+000	-6.581922e+001	8.296830e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16349750.000	6.267245e-004	-5.483245e+000	-6.539815e+001	8.536215e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16999740.000	-1.489854e-003	-5.699507e+000	-6.504387e+001	8.647070e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
17649730.000	5.663715e-003	-5.933302e+000	-6.476649e+001	8.569961e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18299720.000	8.380008e-003	-6.149503e+000	-6.450335e+001	8.547070e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18949710.000	7.539496e-003	-6.352521e+000	-6.424325e+001	8.420984e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
19599700.000	2.121165e-003	-6.529016e+000	-6.393371e+001	8.378526e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20249690.000	-2.080373e-003	-6.717457e+000	-6.374792e+001	8.496526e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20899680.000	-3.709579e-003	-6.952676e+000	-6.344797e+001	8.405684e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
21549670.000	-3.798755e-003	-7.174385e+000	-6.338670e+001	8.601828e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22199660.000	-2.371452e-003	-7.365295e+000	-6.312633e+001	8.503090e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22849650.000	1.107036e-003	-7.543530e+000	-6.284291e+001	8.584768e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
23499640.000	-7.505462e-004	-7.749492e+000	-6.244365e+001	8.631391e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24149630.000	-2.172928e-003	-7.960708e+000	-6.211333e+001	8.843720e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24799620.000	-2.067094e-003	-8.166071e+000	-6.160283e+001	8.804417e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
25449610.000	9.784262e-004	-8.376046e+000	-6.142199e+001	8.713610e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26099600.000	5.026868e-004	-8.576410e+000	-6.095796e+001	8.580767e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
26749590.000	-3.640705e-004	-8.785562e+000	-6.082367e+001	8.440315e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
