Frequency	S11_amp	S11_phase	S21_amp	S21_phase	S12_amp	S12_phase	S22_amp	S22_phase
100000.000	5.270045e-002	-6.464482e-001	-9.073997e+001	-7.309143e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
749990.000	9.339996e-004	-6.023839e-001	-8.259237e+001	-5.208106e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
1399980.000	6.644902e-004	-7.798265e-001	-8.257822e+001	1.504589e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2049970.000	6.296618e-004	-9.654327e-001	-8.187812e+001	1.587104e+002	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
2699960.000	-9.606406e-004	-1.165270e+000	-7.745735e+001	9.868829e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3349950.000	1.390208e-003	-1.385125e+000	-7.638192e+001	7.466727e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
3999940.000	1.591088e-003	-1.573533e+000	-7.872170e+001	9.143308e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
4649930.000	1.864001e-003	-1.796627e+000	-7.521692e+001	6.210539e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5299920.000	2.480551e-005	-1.984898e+000	-7.421191e+001	7.540732e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
5949910.000	-6.216978e-004	-2.201889e+000	-7.550152e+001	8.013640e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
6599900.000	-9.964313e-004	-2.397233e+000	-7.327995e+001	9.720406e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7249890.000	-9.127927e-004	-2.614910e+000	-7.239649e+001	9.396435e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
7899880.000	-3.679966e-004	-2.820799e+000	-7.023020e+001	8.317365e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
8549870.000	2.317328e-003	-3.039865e+000	-7.082181e+001	8.640221e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9199860.000	6.428427e-004	-3.245957e+000	-7.065659e+001	8.773521e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
9849850.000	1.057733e-003	-3.453207e+000	-6.981326e+001	8.725009e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
10499840.000	1.119842e-004	-3.647455e+000	-6.946531e+001	8.687322e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11149830.000	-1.826312e-003	-3.847565e+000	-6.884119e+001	8.698776e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
11799820.000	-2.754894e-003	-4.050589e+000	-6.805235e+001	8.659686e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
12449810.000	-1.210602e-003	-4.260987e+000	-6.771603e+001	8.637841e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13099800.000	-2.007355e-004	-4.478120e+000	-6.701208e+001	8.756769e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
13749790.000	-7.602295e-004	-4.681796e+000	-6.674668e+001	8.630757e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
14399780.000	-1.708822e-003	-4.897013e+000	-6.661472e+001	8.620890e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15049770.000	-2.128317e-003	-5.108804e+000	-6.592710e+001	8.416659e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
15699760.000	-1.995981e-004	-5.297203e+000	-6.585248e+001	8.491936e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16349750.000	-2.274300e-004	-5.498926e+000	-6.547688e+001	8.395259e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
16999740.000	-2.805750e-003	-5.713809e+000	-6.500193e+001	8.618221e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
17649730.000	4.442923e-003	-5.941647e+000	-6.487320e+001	8.684326e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18299720.000	7.500450e-003	-6.164698e+000	-6.463223e+001	8.458948e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
18949710.000	6.469310e-003	-6.365937e+000	-6.433166e+001	8.543900e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
19599700.000	7.080776e-004	-6.543222e+000	-6.402244e+001	8.491195e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20249690.000	-3.386397e-003	-6.733518e+000	-6.374676e+001	8.389979e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
20899680.000	-4.634924e-003	-6.968052e+000	-6.345052e+001	8.441784e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
21549670.000	-4.562576e-003	-7.184847e+000	-6.339546e+001	8.451297e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22199660.000	-3.489505e-003	-7.376202e+000	-6.310537e+001	8.533613e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
22849650.000	-7.922980e-005	-7.558485e+000	-6.282226e+001	8.640881e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
23499640.000	-1.141502e-003	-7.763388e+000	-6.256846e+001	8.742748e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
24149630.000	-2.632709e-003	-7.972287e+000	-6.207057e+001	8.762644e+001	-2.000000e+002	0.000000e+000	-2.000000e+002	0.000000e+000
