"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +5.14236295037E-003, +0.00000000000E+000
+9.49970000000E+005, -3.24487213925E-003, +0.00000000000E+000
+1.59994000000E+006, -3.23933101422E-003, +0.00000000000E+000
+2.24991000000E+006, -2.88132672572E-003, +0.00000000000E+000
+2.89988000000E+006, -2.56442350086E-003, +0.00000000000E+000
+3.54985000000E+006, -2.81005557680E-003, +0.00000000000E+000
+4.19982000000E+006, -3.33057808578E-003, +0.00000000000E+000
+4.84979000000E+006, -3.67392652135E-003, +0.00000000000E+000
+5.49976000000E+006, -3.51463279024E-003, +0.00000000000E+000
+6.14973000000E+006, -2.81682887653E-003, +0.00000000000E+000
+6.79970000000E+006, -4.23725828070E-003, +0.00000000000E+000
+7.44967000000E+006, -3.27187404374E-003, +0.00000000000E+000
+8.09964000000E+006, -4.90955120739E-003, +0.00000000000E+000
+8.74961000000E+006, -2.10876993389E-003, +0.00000000000E+000
+9.39958000000E+006, -3.08003720714E-003, +0.00000000000E+000
+1.00495500000E+007, -2.67922979547E-003, +0.00000000000E+000
+1.06995200000E+007, -4.18646957591E-003, +0.00000000000E+000
+1.13494900000E+007, -5.37632466345E-003, +0.00000000000E+000
+1.19994600000E+007, -5.28224959398E-003, +0.00000000000E+000
+1.26494300000E+007, -3.59869750389E-003, +0.00000000000E+000
+1.32994000000E+007, -3.67033435076E-003, +0.00000000000E+000
+1.39493700000E+007, -4.91139049166E-003, +0.00000000000E+000
+1.45993400000E+007, -4.94840942409E-003, +0.00000000000E+000
+1.52493100000E+007, -5.40705475670E-003, +0.00000000000E+000
+1.58992800000E+007, -3.89093169714E-003, +0.00000000000E+000
+1.65492500000E+007, -6.06521007983E-003, +0.00000000000E+000
+1.71992200000E+007, -4.76641673504E-003, +0.00000000000E+000
+1.78491900000E+007, +1.75967354407E-003, +0.00000000000E+000
+1.84991600000E+007, +1.69414893805E-003, +0.00000000000E+000
+1.91491300000E+007, -1.33352856738E-003, +0.00000000000E+000
+1.97991000000E+007, -5.31081394774E-003, +0.00000000000E+000
+2.04490700000E+007, -8.90909106821E-003, +0.00000000000E+000
