"# Channel 1"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.30399318619E+002, +0.00000000000E+000
+9.49970000000E+005, +4.00783538586E+001, +0.00000000000E+000
+1.59994000000E+006, +3.86618721992E+001, +0.00000000000E+000
+2.24991000000E+006, +9.54104253790E+001, +0.00000000000E+000
+2.89988000000E+006, +1.02763736469E+002, +0.00000000000E+000
+3.54985000000E+006, +8.97010217008E+001, +0.00000000000E+000
+4.19982000000E+006, +8.86656463574E+001, +0.00000000000E+000
+4.84979000000E+006, +1.07811938177E+002, +0.00000000000E+000
+5.49976000000E+006, +1.05891254116E+002, +0.00000000000E+000
+6.14973000000E+006, +8.36177537916E+001, +0.00000000000E+000
+6.79970000000E+006, +7.44897667982E+001, +0.00000000000E+000
+7.44967000000E+006, +8.24988181585E+001, +0.00000000000E+000
+8.09964000000E+006, +9.61978481287E+001, +0.00000000000E+000
+8.74961000000E+006, +8.73131022872E+001, +0.00000000000E+000
+9.39958000000E+006, +8.73942816970E+001, +0.00000000000E+000
+1.00495500000E+007, +8.71467186060E+001, +0.00000000000E+000
+1.06995200000E+007, +8.63723061764E+001, +0.00000000000E+000
+1.13494900000E+007, +8.57698683954E+001, +0.00000000000E+000
+1.19994600000E+007, +8.45750406088E+001, +0.00000000000E+000
+1.26494300000E+007, +8.62465761298E+001, +0.00000000000E+000
+1.32994000000E+007, +8.74333628429E+001, +0.00000000000E+000
+1.39493700000E+007, +8.52822275529E+001, +0.00000000000E+000
+1.45993400000E+007, +8.64390811112E+001, +0.00000000000E+000
+1.52493100000E+007, +8.58138367643E+001, +0.00000000000E+000
+1.58992800000E+007, +8.64896919199E+001, +0.00000000000E+000
+1.65492500000E+007, +8.68966419156E+001, +0.00000000000E+000
+1.71992200000E+007, +8.57683144042E+001, +0.00000000000E+000
+1.78491900000E+007, +8.64742185167E+001, +0.00000000000E+000
+1.84991600000E+007, +8.67623863659E+001, +0.00000000000E+000
+1.91491300000E+007, +8.55916328329E+001, +0.00000000000E+000
+1.97991000000E+007, +8.51458506322E+001, +0.00000000000E+000
+2.04490700000E+007, +8.67482658579E+001, +0.00000000000E+000
+2.10990400000E+007, +8.66930673983E+001, +0.00000000000E+000
+2.17490100000E+007, +8.79394071377E+001, +0.00000000000E+000
+2.23989800000E+007, +8.92052782115E+001, +0.00000000000E+000
+2.30489500000E+007, +9.02678966885E+001, +0.00000000000E+000
+2.36989200000E+007, +8.94934675553E+001, +0.00000000000E+000
+2.43488900000E+007, +8.92358878332E+001, +0.00000000000E+000
+2.49988600000E+007, +8.99272056438E+001, +0.00000000000E+000
+2.56488300000E+007, +8.89697818500E+001, +0.00000000000E+000
+2.62988000000E+007, +8.73666366379E+001, +0.00000000000E+000
+2.69487700000E+007, +8.63854380880E+001, +0.00000000000E+000
+2.75987400000E+007, +8.52075101527E+001, +0.00000000000E+000
+2.82487100000E+007, +8.43720907735E+001, +0.00000000000E+000
+2.88986800000E+007, +8.47185292672E+001, +0.00000000000E+000
+2.95486500000E+007, +8.33592448716E+001, +0.00000000000E+000
+3.01986200000E+007, +8.28825894832E+001, +0.00000000000E+000
+3.08485900000E+007, +8.25874574121E+001, +0.00000000000E+000
+3.14985600000E+007, +8.20463022743E+001, +0.00000000000E+000
+3.21485300000E+007, +8.24750813842E+001, +0.00000000000E+000
+3.27985000000E+007, +8.16423323532E+001, +0.00000000000E+000
+3.34484700000E+007, +8.23090735908E+001, +0.00000000000E+000
+3.40984400000E+007, +8.21555585539E+001, +0.00000000000E+000
+3.47484100000E+007, +8.26974327040E+001, +0.00000000000E+000
+3.53983800000E+007, +8.27341786027E+001, +0.00000000000E+000
+3.60483500000E+007, +8.28234037710E+001, +0.00000000000E+000
+3.66983200000E+007, +8.40905271859E+001, +0.00000000000E+000
+3.73482900000E+007, +8.44515318576E+001, +0.00000000000E+000
+3.79982600000E+007, +8.39385657131E+001, +0.00000000000E+000
+3.86482300000E+007, +8.50795962194E+001, +0.00000000000E+000
+3.92982000000E+007, +8.48442818595E+001, +0.00000000000E+000
+3.99481700000E+007, +8.58181351394E+001, +0.00000000000E+000
+4.05981400000E+007, +8.59252345285E+001, +0.00000000000E+000
+4.12481100000E+007, +8.56061832966E+001, +0.00000000000E+000
+4.18980800000E+007, +8.34385773516E+001, +0.00000000000E+000
+4.25480500000E+007, +8.30418272162E+001, +0.00000000000E+000
+4.31980200000E+007, +8.33570330649E+001, +0.00000000000E+000
+4.38479900000E+007, +8.19623628627E+001, +0.00000000000E+000
+4.44979600000E+007, +8.23100480152E+001, +0.00000000000E+000
+4.51479300000E+007, +8.26046382784E+001, +0.00000000000E+000
+4.57979000000E+007, +8.25842416679E+001, +0.00000000000E+000
+4.64478700000E+007, +8.22473018828E+001, +0.00000000000E+000
+4.70978400000E+007, +8.18951332942E+001, +0.00000000000E+000
+4.77478100000E+007, +8.23545085321E+001, +0.00000000000E+000
+4.83977800000E+007, +8.24615433567E+001, +0.00000000000E+000
+4.90477500000E+007, +8.24939098578E+001, +0.00000000000E+000
+4.96977200000E+007, +8.20521960728E+001, +0.00000000000E+000
+5.03476900000E+007, +8.20101381094E+001, +0.00000000000E+000
+5.09976600000E+007, +8.10963534189E+001, +0.00000000000E+000
+5.16476300000E+007, +8.01372300234E+001, +0.00000000000E+000
+5.22976000000E+007, +8.00090683086E+001, +0.00000000000E+000
+5.29475700000E+007, +7.99760742225E+001, +0.00000000000E+000
+5.35975400000E+007, +7.94804342873E+001, +0.00000000000E+000
+5.42475100000E+007, +7.92823559817E+001, +0.00000000000E+000
+5.48974800000E+007, +7.99739745503E+001, +0.00000000000E+000
+5.55474500000E+007, +7.93628475204E+001, +0.00000000000E+000
+5.61974200000E+007, +7.88029635031E+001, +0.00000000000E+000
+5.68473900000E+007, +7.83410369295E+001, +0.00000000000E+000
+5.74973600000E+007, +7.75870113925E+001, +0.00000000000E+000
+5.81473300000E+007, +7.71282602291E+001, +0.00000000000E+000
+5.87973000000E+007, +7.61979659087E+001, +0.00000000000E+000
+5.94472700000E+007, +7.54156212778E+001, +0.00000000000E+000
+6.00972400000E+007, +7.48210140590E+001, +0.00000000000E+000
+6.07472100000E+007, +7.44490969584E+001, +0.00000000000E+000
+6.13971800000E+007, +7.38804042014E+001, +0.00000000000E+000
+6.20471500000E+007, +7.36329933857E+001, +0.00000000000E+000
+6.26971200000E+007, +7.28943190183E+001, +0.00000000000E+000
+6.33470900000E+007, +7.28584750340E+001, +0.00000000000E+000
+6.39970600000E+007, +7.23676941234E+001, +0.00000000000E+000
+6.46470300000E+007, +7.19418807158E+001, +0.00000000000E+000
+6.52970000000E+007, +7.20631147129E+001, +0.00000000000E+000
+6.59469700000E+007, +7.20136192515E+001, +0.00000000000E+000
+6.65969400000E+007, +7.15290051659E+001, +0.00000000000E+000
+6.72469100000E+007, +7.14219847246E+001, +0.00000000000E+000
+6.78968800000E+007, +7.14921405434E+001, +0.00000000000E+000
+6.85468500000E+007, +7.06740010570E+001, +0.00000000000E+000
+6.91968200000E+007, +7.05792457995E+001, +0.00000000000E+000
+6.98467900000E+007, +7.01251688105E+001, +0.00000000000E+000
+7.04967600000E+007, +7.02136371466E+001, +0.00000000000E+000
+7.11467300000E+007, +6.99050235127E+001, +0.00000000000E+000
+7.17967000000E+007, +6.96242217330E+001, +0.00000000000E+000
+7.24466700000E+007, +6.92990368997E+001, +0.00000000000E+000
+7.30966400000E+007, +6.91286510908E+001, +0.00000000000E+000
+7.37466100000E+007, +6.89403750086E+001, +0.00000000000E+000
+7.43965800000E+007, +6.86476080778E+001, +0.00000000000E+000
+7.50465500000E+007, +6.84348183929E+001, +0.00000000000E+000
+7.56965200000E+007, +6.84050037369E+001, +0.00000000000E+000
+7.63464900000E+007, +6.84404189894E+001, +0.00000000000E+000
+7.69964600000E+007, +6.80575921157E+001, +0.00000000000E+000
+7.76464300000E+007, +6.82728937585E+001, +0.00000000000E+000
+7.82964000000E+007, +6.77999977928E+001, +0.00000000000E+000
+7.89463700000E+007, +6.78663677205E+001, +0.00000000000E+000
+7.95963400000E+007, +6.75699251826E+001, +0.00000000000E+000
+8.02463100000E+007, +6.70330252680E+001, +0.00000000000E+000
+8.08962800000E+007, +6.67567069344E+001, +0.00000000000E+000
+8.15462500000E+007, +6.65050748991E+001, +0.00000000000E+000
+8.21962200000E+007, +6.67048621313E+001, +0.00000000000E+000
+8.28461900000E+007, +6.61989247839E+001, +0.00000000000E+000
+8.34961600000E+007, +6.60144942674E+001, +0.00000000000E+000
+8.41461300000E+007, +6.68611228065E+001, +0.00000000000E+000
+8.47961000000E+007, +6.66373068836E+001, +0.00000000000E+000
+8.54460700000E+007, +6.63275486595E+001, +0.00000000000E+000
+8.60960400000E+007, +6.64921933131E+001, +0.00000000000E+000
+8.67460100000E+007, +6.62264693426E+001, +0.00000000000E+000
+8.73959800000E+007, +6.61525608550E+001, +0.00000000000E+000
+8.80459500000E+007, +6.51179668339E+001, +0.00000000000E+000
+8.86959200000E+007, +6.58485656135E+001, +0.00000000000E+000
+8.93458900000E+007, +6.55706792653E+001, +0.00000000000E+000
+8.99958600000E+007, +6.57881493819E+001, +0.00000000000E+000
+9.06458300000E+007, +6.59000031318E+001, +0.00000000000E+000
+9.12958000000E+007, +6.51605849907E+001, +0.00000000000E+000
+9.19457700000E+007, +6.48982257626E+001, +0.00000000000E+000
+9.25957400000E+007, +6.48781415339E+001, +0.00000000000E+000
+9.32457100000E+007, +6.45190102751E+001, +0.00000000000E+000
+9.38956800000E+007, +6.44903770379E+001, +0.00000000000E+000
+9.45456500000E+007, +6.41905960300E+001, +0.00000000000E+000
+9.51956200000E+007, +6.38237586197E+001, +0.00000000000E+000
+9.58455900000E+007, +6.36010099172E+001, +0.00000000000E+000
+9.64955600000E+007, +6.32699473641E+001, +0.00000000000E+000
+9.71455300000E+007, +6.34258748152E+001, +0.00000000000E+000
+9.77955000000E+007, +6.31894447777E+001, +0.00000000000E+000
+9.84454700000E+007, +6.31714672874E+001, +0.00000000000E+000
+9.90954400000E+007, +6.28473020261E+001, +0.00000000000E+000
+9.97454100000E+007, +6.26420166143E+001, +0.00000000000E+000
+1.00395380000E+008, +6.26665463044E+001, +0.00000000000E+000
+1.01045350000E+008, +6.26445008121E+001, +0.00000000000E+000
+1.01695320000E+008, +6.24147887895E+001, +0.00000000000E+000
+1.02345290000E+008, +6.24975126825E+001, +0.00000000000E+000
+1.02995260000E+008, +6.21855561096E+001, +0.00000000000E+000
+1.03645230000E+008, +6.19527064317E+001, +0.00000000000E+000
+1.04295200000E+008, +6.21434732938E+001, +0.00000000000E+000
+1.04945170000E+008, +6.18187414942E+001, +0.00000000000E+000
+1.05595140000E+008, +6.17818871980E+001, +0.00000000000E+000
+1.06245110000E+008, +6.18033726990E+001, +0.00000000000E+000
+1.06895080000E+008, +6.16773265466E+001, +0.00000000000E+000
+1.07545050000E+008, +6.18901635410E+001, +0.00000000000E+000
+1.08195020000E+008, +6.17239010046E+001, +0.00000000000E+000
+1.08844990000E+008, +6.13545311229E+001, +0.00000000000E+000
+1.09494960000E+008, +6.15043361962E+001, +0.00000000000E+000
+1.10144930000E+008, +6.16087616227E+001, +0.00000000000E+000
+1.10794900000E+008, +6.14917591256E+001, +0.00000000000E+000
+1.11444870000E+008, +6.10801518871E+001, +0.00000000000E+000
+1.12094840000E+008, +6.06196076489E+001, +0.00000000000E+000
+1.12744810000E+008, +6.02627083647E+001, +0.00000000000E+000
+1.13394780000E+008, +6.00297302319E+001, +0.00000000000E+000
+1.14044750000E+008, +5.97705591987E+001, +0.00000000000E+000
+1.14694720000E+008, +5.92283534695E+001, +0.00000000000E+000
+1.15344690000E+008, +5.88166889354E+001, +0.00000000000E+000
+1.15994660000E+008, +5.83738591513E+001, +0.00000000000E+000
+1.16644630000E+008, +5.80850248392E+001, +0.00000000000E+000
+1.17294600000E+008, +5.79553292376E+001, +0.00000000000E+000
+1.17944570000E+008, +5.77649974506E+001, +0.00000000000E+000
+1.18594540000E+008, +5.76298062775E+001, +0.00000000000E+000
+1.19244510000E+008, +5.75607838119E+001, +0.00000000000E+000
+1.19894480000E+008, +5.75105077328E+001, +0.00000000000E+000
+1.20544450000E+008, +5.75640032056E+001, +0.00000000000E+000
+1.21194420000E+008, +5.76146791862E+001, +0.00000000000E+000
+1.21844390000E+008, +5.75889587941E+001, +0.00000000000E+000
+1.22494360000E+008, +5.75760457420E+001, +0.00000000000E+000
+1.23144330000E+008, +5.79598116734E+001, +0.00000000000E+000
+1.23794300000E+008, +5.79889989784E+001, +0.00000000000E+000
+1.24444270000E+008, +5.80424230351E+001, +0.00000000000E+000
+1.25094240000E+008, +5.82528083280E+001, +0.00000000000E+000
+1.25744210000E+008, +5.86140207527E+001, +0.00000000000E+000
+1.26394180000E+008, +5.87708317944E+001, +0.00000000000E+000
+1.27044150000E+008, +5.89061534661E+001, +0.00000000000E+000
+1.27694120000E+008, +5.92252399756E+001, +0.00000000000E+000
+1.28344090000E+008, +5.94572547485E+001, +0.00000000000E+000
+1.28994060000E+008, +5.94638365719E+001, +0.00000000000E+000
+1.29644030000E+008, +5.94800219253E+001, +0.00000000000E+000
+1.30294000000E+008, +5.99702610452E+001, +0.00000000000E+000
+1.30943970000E+008, +6.01182533709E+001, +0.00000000000E+000
+1.31593940000E+008, +6.04349165079E+001, +0.00000000000E+000
+1.32243910000E+008, +6.09403135603E+001, +0.00000000000E+000
+1.32893880000E+008, +6.12642255797E+001, +0.00000000000E+000
+1.33543850000E+008, +6.14265884589E+001, +0.00000000000E+000
+1.34193820000E+008, +6.17346380540E+001, +0.00000000000E+000
+1.34843790000E+008, +6.19781398250E+001, +0.00000000000E+000
+1.35493760000E+008, +6.19205696338E+001, +0.00000000000E+000
+1.36143730000E+008, +6.23994347219E+001, +0.00000000000E+000
+1.36793700000E+008, +6.28549045160E+001, +0.00000000000E+000
+1.37443670000E+008, +6.37842723238E+001, +0.00000000000E+000
+1.38093640000E+008, +6.44553453084E+001, +0.00000000000E+000
+1.38743610000E+008, +6.51614366459E+001, +0.00000000000E+000
+1.39393580000E+008, +6.54825117632E+001, +0.00000000000E+000
+1.40043550000E+008, +6.60239801968E+001, +0.00000000000E+000
+1.40693520000E+008, +6.63516660454E+001, +0.00000000000E+000
+1.41343490000E+008, +6.66398669443E+001, +0.00000000000E+000
+1.41993460000E+008, +6.73055363994E+001, +0.00000000000E+000
+1.42643430000E+008, +6.81812666775E+001, +0.00000000000E+000
+1.43293400000E+008, +6.92192120025E+001, +0.00000000000E+000
+1.43943370000E+008, +7.04402694401E+001, +0.00000000000E+000
+1.44593340000E+008, +7.15803835475E+001, +0.00000000000E+000
+1.45243310000E+008, +7.25071367553E+001, +0.00000000000E+000
+1.45893280000E+008, +7.29783826753E+001, +0.00000000000E+000
+1.46543250000E+008, +7.27880305509E+001, +0.00000000000E+000
+1.47193220000E+008, +7.24112440657E+001, +0.00000000000E+000
+1.47843190000E+008, +7.19229608085E+001, +0.00000000000E+000
+1.48493160000E+008, +7.08829784238E+001, +0.00000000000E+000
+1.49143130000E+008, +6.99683776318E+001, +0.00000000000E+000
+1.49793100000E+008, +6.93555119238E+001, +0.00000000000E+000
+1.50443070000E+008, +6.83138815852E+001, +0.00000000000E+000
+1.51093040000E+008, +6.74143885314E+001, +0.00000000000E+000
+1.51743010000E+008, +6.66621078475E+001, +0.00000000000E+000
+1.52392980000E+008, +6.60099433062E+001, +0.00000000000E+000
+1.53042950000E+008, +6.52959638743E+001, +0.00000000000E+000
+1.53692920000E+008, +6.50561802065E+001, +0.00000000000E+000
+1.54342890000E+008, +6.44358230389E+001, +0.00000000000E+000
+1.54992860000E+008, +6.41586005183E+001, +0.00000000000E+000
+1.55642830000E+008, +6.34637400359E+001, +0.00000000000E+000
+1.56292800000E+008, +6.30697250036E+001, +0.00000000000E+000
+1.56942770000E+008, +6.27963896904E+001, +0.00000000000E+000
+1.57592740000E+008, +6.24344013890E+001, +0.00000000000E+000
+1.58242710000E+008, +6.19161874508E+001, +0.00000000000E+000
+1.58892680000E+008, +6.14116200970E+001, +0.00000000000E+000
+1.59542650000E+008, +6.07420865198E+001, +0.00000000000E+000
+1.60192620000E+008, +6.02486920268E+001, +0.00000000000E+000
+1.60842590000E+008, +5.96871188413E+001, +0.00000000000E+000
+1.61492560000E+008, +5.90877824557E+001, +0.00000000000E+000
+1.62142530000E+008, +5.85863976271E+001, +0.00000000000E+000
+1.62792500000E+008, +5.80248623775E+001, +0.00000000000E+000
+1.63442470000E+008, +5.77143433828E+001, +0.00000000000E+000
+1.64092440000E+008, +5.73321864533E+001, +0.00000000000E+000
+1.64742410000E+008, +5.71238098021E+001, +0.00000000000E+000
+1.65392380000E+008, +5.71274254610E+001, +0.00000000000E+000
+1.66042350000E+008, +5.73214301825E+001, +0.00000000000E+000
+1.66692320000E+008, +5.76298901740E+001, +0.00000000000E+000
+1.67342290000E+008, +5.80507612526E+001, +0.00000000000E+000
+1.67992260000E+008, +5.83923475227E+001, +0.00000000000E+000
+1.68642230000E+008, +5.87803078482E+001, +0.00000000000E+000
+1.69292200000E+008, +5.89290203874E+001, +0.00000000000E+000
+1.69942170000E+008, +5.91864770466E+001, +0.00000000000E+000
+1.70592140000E+008, +5.94013447302E+001, +0.00000000000E+000
+1.71242110000E+008, +5.95893641761E+001, +0.00000000000E+000
+1.71892080000E+008, +6.00384152218E+001, +0.00000000000E+000
+1.72542050000E+008, +6.03186652865E+001, +0.00000000000E+000
+1.73192020000E+008, +6.05904421419E+001, +0.00000000000E+000
+1.73841990000E+008, +6.06174261982E+001, +0.00000000000E+000
+1.74491960000E+008, +6.05131558007E+001, +0.00000000000E+000
+1.75141930000E+008, +6.03509991279E+001, +0.00000000000E+000
