Frequency,Phase
100000.0,179.772
749990.0,178.29002279999997
1399980.0,176.8080456
2049970.0,175.3260684
2699960.0,173.84409119999998
3349950.0,172.36211400000002
3999940.0,170.8801368
4649930.0,169.39815959999999
5299920.0,167.91618240000003
5949910.0,166.4342052
6599900.0,164.952228
7249890.0,163.47025079999997
7899880.0,161.9882736
8549870.0,160.5062964
9199860.0,159.02431919999998
9849850.0,157.54234200000002
10499840.0,156.0603648
11149830.0,154.57838759999999
11799820.0,153.09641040000002
12449810.0,151.6144332
13099800.0,150.132456
13749790.0,148.65047879999997
14399780.0,147.1685016
15049770.0,145.6865244
15699760.0,144.20454719999998
16349750.0,142.72257000000002
16999740.0,141.2405928
17649730.0,139.75861559999998
18299720.0,138.27663840000002
18949710.0,136.7946612
19599700.0,135.312684
20249690.0,133.83070679999997
20899680.0,132.3487296
21549670.0,130.8667524
22199660.0,129.38477519999998
22849650.0,127.90279800000002
23499640.0,126.4208208
24149630.0,124.93884359999998
24799620.0,123.45686639999997
25449610.0,121.9748892
26099600.0,120.49291199999999
26749590.0,119.01093479999997
27399580.0,117.52895760000001
28049570.0,116.0469804
28699560.0,114.56500319999998
29349550.0,113.08302600000002
29999540.0,111.6010488
30649530.0,110.11907159999998
31299520.0,108.63709440000002
31949510.0,107.1551172
32599500.0,105.67313999999999
33249490.0,104.19116279999997
33899480.0,102.70918560000001
34549470.0,101.2272084
35199460.0,99.74523119999998
35849450.0,98.26325400000002
36499440.0,96.7812768
37149430.0,95.29929959999998
37799420.0,93.81732240000002
38449410.0,92.3353452
39099400.0,90.85336799999999
39749390.0,89.37139079999997
40399380.0,87.88941360000001
41049370.0,86.4074364
41699360.0,84.92545919999998
42349350.0,83.44348200000002
42999340.0,81.9615048
43649330.0,80.47952759999998
44299320.0,78.99755040000002
44949310.0,77.5155732
45599300.0,76.03359599999999
46249290.0,74.55161879999997
46899280.0,73.06964160000001
47549270.0,71.5876644
48199260.0,70.1056872
48849250.0,68.62370999999999
49499240.0,67.1417328
50149230.0,65.65975559999998
50799220.0,64.17777840000002
51449210.0,62.695801200000005
52099200.0,61.21382399999999
52749190.0,59.7318468
53399180.0,58.24986960000001
54049170.0,56.767892399999994
54699160.0,55.28591519999998
55349150.0,53.80393800000002
55999140.0,52.3219608
56649130.0,50.83998359999998
57299120.0,49.358006399999994
57949110.0,47.87602919999998
58599100.0,46.39405199999999
59249090.0,44.91207479999997
59899080.0,43.43009759999998
60549070.0,41.94812039999999
61199060.0,40.466143200000005
61849050.0,38.98416599999999
62499040.0,37.50218879999997
63149030.0,36.02021159999998
63799020.0,34.538234399999965
64449010.0,33.056257199999976
65099000.0,31.574279999999987
65748990.0,30.0923028
66398980.0,28.61032559999998
67048970.0,27.128348399999965
67698960.0,25.646371199999976
68348950.0,24.164393999999987
68998940.0,22.6824168
69648930.0,21.20043959999998
70298920.0,19.718462399999993
70948910.0,18.236485200000004
71598900.0,16.754507999999987
72248890.0,15.272530799999998
72898880.0,13.790553599999981
73548870.0,12.308576399999993
74198860.0,10.826599200000004
74848850.0,9.344622000000015
75498840.0,7.862644799999998
76148830.0,6.380667599999981
76798820.0,4.8986903999999925
77448810.0,3.416713200000004
78098800.0,1.934736000000015
78748790.0,0.452758799999998
79398780.0,-1.0292183999999907
80048770.0,-2.5111955999999793
80698760.0,-3.9931727999999964
81348750.0,-5.475149999999985
81998740.0,-6.957127199999974
82648730.0,-8.43910440000002
83298720.0,-9.921081600000008
83948710.0,-11.403058799999997
84598700.0,-12.885035999999985
85248690.0,-14.367013200000002
85898680.0,-15.848990399999991
86548670.0,-17.33096759999998
87198660.0,-18.812944800000025
87848650.0,-20.294922000000014
88498640.0,-21.776899200000003
89148630.0,-23.25887639999999
89798620.0,-24.74085360000001
90448610.0,-26.222830799999997
91098600.0,-27.704807999999986
91748590.0,-29.186785200000003
92398580.0,-30.66876239999999
93048570.0,-32.15073959999998
93698560.0,-33.63271679999997
94348550.0,-35.114694000000014
94998540.0,-36.5966712
95648530.0,-38.07864839999999
96298520.0,-39.56062560000001
96948510.0,-41.0426028
97598500.0,-42.524579999999986
98248490.0,-44.006557199999975
98898480.0,-45.48853440000002
99548470.0,-46.97051160000001
100198460.0,-48.4524888
100848450.0,-49.934466000000015
101498440.0,-51.4164432
102148430.0,-52.89842039999999
102798420.0,-54.38039759999998
103448410.0,-55.8623748
104098400.0,-57.344352000000015
104748390.0,-58.826329199999975
105398380.0,-60.30830640000002
106048370.0,-61.79028360000001
106698360.0,-63.2722608
107348350.0,-64.75423799999999
107998340.0,-66.2362152
108648330.0,-67.71819239999999
109298320.0,-69.20016959999998
109948310.0,-70.68214680000003
110598300.0,-72.16412400000002
111248290.0,-73.6461012
111898280.0,-75.12807840000002
112548270.0,-76.61005560000007
113198260.0,-78.09203280000003
113848250.0,-79.57401000000004
114498240.0,-81.0559872
115148230.0,-82.53796440000002
115798220.0,-84.01994160000004
116448210.0,-85.5019188
117098200.0,-86.98389600000007
117748190.0,-88.46587320000003
118398180.0,-89.94785040000005
119048170.0,-91.42982760000001
119698160.0,-92.91180480000003
120348150.0,-94.39378200000004
120998140.0,-95.8757592
121648130.0,-97.35773640000008
122298120.0,-98.83971360000004
122948110.0,-100.32169080000006
123598100.0,-101.80366800000002
124248090.0,-103.28564520000003
124898080.0,-104.76762240000005
125548070.0,-106.24959960000001
126198060.0,-107.73157680000003
126848050.0,-109.21355400000004
127498040.0,-110.6955312
128148030.0,-112.17750840000002
128798020.0,-113.65948560000004
129448010.0,-115.14146280000006
130098000.0,-116.62344000000002
130747990.0,-118.10541720000003
131397980.0,-119.58739440000005
132047970.0,-121.06937160000001
132697960.0,-122.55134880000003
133347950.0,-124.03332600000005
133997940.0,-125.51530320000006
134647930.0,-126.99728040000002
135297920.0,-128.47925760000004
135947910.0,-129.96123480000006
136597900.0,-131.44321200000002
137247890.0,-132.92518920000003
137897880.0,-134.40716640000005
138547870.0,-135.8891436
139197860.0,-137.37112080000003
139847850.0,-138.85309800000005
140497840.0,-140.33507520000006
141147830.0,-141.81705240000002
141797820.0,-143.29902959999998
142447810.0,-144.7810068
143097800.0,-146.26298400000002
143747790.0,-147.74496119999998
144397780.0,-149.2269384
145047770.0,-150.7089156
145697760.0,-152.19089279999997
146347750.0,-153.67287
146997740.0,-155.1548472
147647730.0,-156.63682440000002
148297720.0,-158.11880159999998
148947710.0,-159.6007788
149597700.0,-161.08275600000002
150247690.0,-162.56473319999998
150897680.0,-164.0467104
151547670.0,-165.5286876
152197660.0,-167.01066480000003
152847650.0,-168.492642
153497640.0,-169.9746192
154147630.0,-171.45659640000002
154797620.0,-172.93857359999998
155447610.0,-174.4205508
156097600.0,-175.90252800000002
156747590.0,-177.38450519999998
157397580.0,-178.8664824
158047570.0,179.6515404
158697560.0,178.16956319999997
159347550.0,176.687586
159997540.0,175.2056088
160647530.0,173.72363160000003
161297520.0,172.24165440000002
161947510.0,170.75967719999994
