Frequency,Phase
100000.0,179.82
749990.0,178.650018
1399980.0,177.48003599999998
2049970.0,176.31005399999998
2699960.0,175.14007199999998
3349950.0,173.97009000000003
3999940.0,172.80010800000002
4649930.0,171.63012600000002
5299920.0,170.460144
5949910.0,169.290162
6599900.0,168.12018
7249890.0,166.950198
7899880.0,165.780216
8549870.0,164.610234
9199860.0,163.440252
9849850.0,162.27026999999998
10499840.0,161.10028799999998
11149830.0,159.93030599999997
11799820.0,158.76032400000003
12449810.0,157.59034200000002
13099800.0,156.42036000000002
13749790.0,155.250378
14399780.0,154.080396
15049770.0,152.910414
15699760.0,151.740432
16349750.0,150.57045
16999740.0,149.400468
17649730.0,148.23048599999998
18299720.0,147.06050399999998
18949710.0,145.89052199999998
19599700.0,144.72054000000003
20249690.0,143.55055800000002
20899680.0,142.38057600000002
21549670.0,141.21059400000001
22199660.0,140.040612
22849650.0,138.87063
23499640.0,137.700648
24149630.0,136.530666
24799620.0,135.360684
25449610.0,134.190702
26099600.0,133.02071999999998
26749590.0,131.85073799999998
27399580.0,130.68075599999997
28049570.0,129.51077399999997
28699560.0,128.34079199999996
29349550.0,127.17081000000002
29999540.0,126.00082800000001
30649530.0,124.83084600000001
31299520.0,123.660864
31949510.0,122.490882
32599500.0,121.3209
33249490.0,120.15091799999999
33899480.0,118.98093599999999
34549470.0,117.81095399999998
35199460.0,116.64097200000003
35849450.0,115.47099000000003
36499440.0,114.30100800000002
37149430.0,113.13102600000002
37799420.0,111.96104400000002
38449410.0,110.79106200000001
39099400.0,109.62108
39749390.0,108.451098
40399380.0,107.281116
41049370.0,106.11113399999999
41699360.0,104.94115199999999
42349350.0,103.77116999999998
42999340.0,102.60118799999998
43649330.0,101.43120599999997
44299320.0,100.26122399999997
44949310.0,99.09124200000002
45599300.0,97.92126000000002
46249290.0,96.75127800000001
46899280.0,95.58129600000001
47549270.0,94.411314
48199260.0,93.241332
48849250.0,92.07135
49499240.0,90.90136799999999
50149230.0,89.73138599999999
50799220.0,88.56140399999998
51449210.0,87.39142200000003
52099200.0,86.22144000000003
52749190.0,85.05145800000003
53399180.0,83.88147600000002
54049170.0,82.71149400000002
54699160.0,81.54151200000001
55349150.0,80.37153
55999140.0,79.201548
56649130.0,78.031566
57299120.0,76.861584
57949110.0,75.69160199999999
58599100.0,74.52161999999998
59249090.0,73.35163799999998
59899080.0,72.18165599999998
60549070.0,71.01167399999997
61199060.0,69.841692
61849050.0,68.67170999999999
62499040.0,67.50172800000001
63149030.0,66.33174600000001
63799020.0,65.161764
64449010.0,63.991782
65099000.0,62.821799999999996
65748990.0,61.65181799999999
66398980.0,60.48183599999999
67048970.0,59.31185400000001
67698960.0,58.141872000000006
68348950.0,56.97189
68998940.0,55.801908
69648930.0,54.63192600000002
70298920.0,53.46194400000002
70948910.0,52.29196200000001
71598900.0,51.12198000000001
72248890.0,49.951998
72898880.0,48.782016
73548870.0,47.612033999999994
74198860.0,46.44205199999999
74848850.0,45.272070000000014
75498840.0,44.10208800000001
76148830.0,42.932106000000005
76798820.0,41.762124
77448810.0,40.592141999999996
78098800.0,39.42215999999999
78748790.0,38.25217799999999
79398780.0,37.08219600000001
80048770.0,35.912214000000006
80698760.0,34.742232
81348750.0,33.57225
81998740.0,32.40226799999999
82648730.0,31.232285999999988
83298720.0,30.062303999999983
