Frequency,Phase
100000.0,179.76
749990.0,178.20002399999998
1399980.0,176.64004799999998
2049970.0,175.08007199999997
2699960.0,173.52009600000002
3349950.0,171.96012000000002
3999940.0,170.400144
4649930.0,168.840168
5299920.0,167.280192
5949910.0,165.720216
6599900.0,164.16024
7249890.0,162.60026399999998
7899880.0,161.04028799999998
8549870.0,159.48031200000003
9199860.0,157.92033600000002
9849850.0,156.36036000000001
10499840.0,154.800384
11149830.0,153.240408
11799820.0,151.680432
12449810.0,150.120456
13099800.0,148.56047999999998
13749790.0,147.00050399999998
14399780.0,145.44052799999997
15049770.0,143.88055200000002
15699760.0,142.32057600000002
16349750.0,140.7606
16999740.0,139.200624
17649730.0,137.640648
18299720.0,136.080672
18949710.0,134.520696
19599700.0,132.96071999999998
20249690.0,131.40074400000003
20899680.0,129.84076800000003
21549670.0,128.28079200000002
22199660.0,126.72081600000001
22849650.0,125.16084000000001
23499640.0,123.600864
24149630.0,122.040888
24799620.0,120.48091199999999
25449610.0,118.92093599999998
26099600.0,117.36095999999998
26749590.0,115.80098399999997
27399580.0,114.24100799999997
28049570.0,112.68103200000002
28699560.0,111.12105600000001
29349550.0,109.56108
29999540.0,108.001104
30649530.0,106.44112799999999
31299520.0,104.88115199999999
31949510.0,103.32117600000004
32599500.0,101.76120000000003
33249490.0,100.20122400000002
33899480.0,98.64124800000002
34549470.0,97.08127200000001
35199460.0,95.521296
35849450.0,93.96132
36499440.0,92.401344
37149430.0,90.84136799999999
37799420.0,89.28139199999998
38449410.0,87.72141599999998
39099400.0,86.16143999999997
39749390.0,84.60146400000002
40399380.0,83.04148800000002
41049370.0,81.48151200000001
41699360.0,79.921536
42349350.0,78.36156
42999340.0,76.80158399999999
43649330.0,75.24160799999999
44299320.0,73.68163199999998
44949310.0,72.121656
45599300.0,70.56168
46249290.0,69.00170400000002
46899280.0,67.44172800000001
47549270.0,65.881752
48199260.0,64.321776
48849250.0,62.761799999999994
49499240.0,61.20182399999999
50149230.0,59.64184799999998
50799220.0,58.081871999999976
51449210.0,56.521896
52099200.0,54.96191999999999
52749190.0,53.401943999999986
53399180.0,51.84196800000001
54049170.0,50.281992
54699160.0,48.722015999999996
55349150.0,47.16204000000002
55999140.0,45.60206400000001
56649130.0,44.04208800000001
57299120.0,42.482112
57949110.0,40.922135999999995
58599100.0,39.36216000000002
59249090.0,37.80218400000001
59899080.0,36.242208000000005
60549070.0,34.682232
61199060.0,33.12225599999999
61849050.0,31.562279999999987
62499040.0,30.00230400000001
63149030.0,28.442328000000003
63799020.0,26.882351999999997
64449010.0,25.32237599999999
65099000.0,23.762399999999985
65748990.0,22.202424000000008
66398980.0,20.642448
67048970.0,19.082471999999996
67698960.0,17.52249599999999
68348950.0,15.962519999999984
68998940.0,14.402544000000006
69648930.0,12.842568
70298920.0,11.282591999999994
70948910.0,9.722615999999988
71598900.0,8.16264000000001
72248890.0,6.602664000000004
72898880.0,5.042687999999998
73548870.0,3.4827120000000207
74198860.0,1.9227360000000147
74848850.0,0.36276000000000863
75498840.0,-1.1972160000000258
76148830.0,-2.7571920000000034
76798820.0,-4.317168000000009
77448810.0,-5.8771440000000155
78098800.0,-7.4371200000000215
78748790.0,-8.997096000000028
79398780.0,-10.557072000000005
80048770.0,-12.117048000000011
80698760.0,-13.677024000000017
81348750.0,-15.236999999999966
81998740.0,-16.796975999999972
82648730.0,-18.35695199999998
83298720.0,-19.916927999999984
83948710.0,-21.47690399999999
84598700.0,-23.036879999999996
85248690.0,-24.596855999999974
85898680.0,-26.15683199999998
86548670.0,-27.716807999999986
87198660.0,-29.276783999999992
87848650.0,-30.836759999999998
88498640.0,-32.396735999999976
89148630.0,-33.95671199999998
89798620.0,-35.51668799999999
90448610.0,-37.076663999999994
91098600.0,-38.63664
91748590.0,-40.196616000000006
92398580.0,-41.75659199999998
93048570.0,-43.31656799999999
93698560.0,-44.876543999999996
94348550.0,-46.43652
94998540.0,-47.99649600000001
95648530.0,-49.556471999999985
96298520.0,-51.11644799999999
96948510.0,-52.676424
97598500.0,-54.2364
98248490.0,-55.79637600000001
98898480.0,-57.35635199999999
99548470.0,-58.91632799999999
100198460.0,-60.476304
100848450.0,-62.036280000000005
101498440.0,-63.59625600000001
102148430.0,-65.15623199999999
102798420.0,-66.716208
103448410.0,-68.276184
104098400.0,-69.83616
104748390.0,-71.39613600000001
105398380.0,-72.95611200000002
106048370.0,-74.516088
106698360.0,-76.07606400000003
107348350.0,-77.63603999999998
107998340.0,-79.19601599999999
108648330.0,-80.75599199999999
109298320.0,-82.315968
109948310.0,-83.875944
110598300.0,-85.43592000000001
111248290.0,-86.99589600000002
111898280.0,-88.55587200000002
112548270.0,-90.11584800000003
113198260.0,-91.67582400000003
113848250.0,-93.23580000000004
114498240.0,-94.79577599999999
115148230.0,-96.355752
115798220.0,-97.915728
116448210.0,-99.47570400000001
117098200.0,-101.03568000000001
117748190.0,-102.59565600000002
118398180.0,-104.15563199999997
119048170.0,-105.71560799999997
119698160.0,-107.27558399999998
120348150.0,-108.83555999999999
120998140.0,-110.39553599999999
121648130.0,-111.955512
122298120.0,-113.515488
122948110.0,-115.07546400000001
123598100.0,-116.63543999999996
124248090.0,-118.19541599999997
124898080.0,-119.75539199999997
125548070.0,-121.31536799999998
126198060.0,-122.87534399999998
126848050.0,-124.43531999999999
127498040.0,-125.995296
128148030.0,-127.555272
128798020.0,-129.115248
129448010.0,-130.67522400000001
130098000.0,-132.23520000000002
130747990.0,-133.79517599999997
131397980.0,-135.35515199999998
132047970.0,-136.91512799999998
132697960.0,-138.475104
133347950.0,-140.03508
133997940.0,-141.595056
134647930.0,-143.155032
135297920.0,-144.715008
135947910.0,-146.27498400000002
136597900.0,-147.83496000000002
137247890.0,-149.39493599999997
137897880.0,-150.95491199999998
138547870.0,-152.51488799999998
139197860.0,-154.074864
139847850.0,-155.63484
140497840.0,-157.194816
141147830.0,-158.754792
141797820.0,-160.31476800000002
142447810.0,-161.87474400000002
143097800.0,-163.43472000000003
143747790.0,-164.99469600000003
144397780.0,-166.55467199999998
145047770.0,-168.114648
145697760.0,-169.674624
146347750.0,-171.2346
146997740.0,-172.794576
147647730.0,-174.354552
148297720.0,-175.91452800000002
148947710.0,-177.47450400000002
149597700.0,-179.03448000000003
150247690.0,179.40554400000002
150897680.0,177.84556800000001
151547670.0,176.285592
152197660.0,174.725616
152847650.0,173.16564
153497640.0,171.60566400000005
154147630.0,170.04568800000004
154797620.0,168.48571200000004
155447610.0,166.92573600000003
156097600.0,165.36576000000002
156747590.0,163.80578400000002
157397580.0,162.245808
158047570.0,160.685832
158697560.0,159.125856
159347550.0,157.56588
159997540.0,156.005904
160647530.0,154.44592800000004
161297520.0,152.88595200000003
161947510.0,151.32597600000003
162597500.0,149.76600000000002
163247490.0,148.206024
163897480.0,146.646048
164547470.0,145.086072
165197460.0,143.526096
165847450.0,141.96612
166497440.0,140.40614399999998
167147430.0,138.84616800000003
167797420.0,137.28619200000003
168447410.0,135.72621600000002
169097400.0,134.16624000000002
169747390.0,132.606264
170397380.0,131.046288
171047370.0,129.486312
171697360.0,127.92633599999999
172347350.0,126.36635999999999
172997340.0,124.80638399999998
173647330.0,123.24640799999997
174297320.0,121.68643200000002
174947310.0,120.12645600000002
175597300.0,118.56648000000001
176247290.0,117.006504
176897280.0,115.446528
177547270.0,113.886552
178197260.0,112.32657599999999
178847250.0,110.76659999999998
179497240.0,109.20662399999998
180147230.0,107.64664799999997
180797220.0,106.08667200000002
181447210.0,104.52669600000002
182097200.0,102.96672000000001
182747190.0,101.406744
183397180.0,99.846768
184047170.0,98.28679199999999
184697160.0,96.72681599999999
185347150.0,95.16683999999998
185997140.0,93.60686399999997
186647130.0,92.04688799999997
187297120.0,90.48691199999996
187947110.0,88.92693600000001
188597100.0,87.36696
189247090.0,85.806984
189897080.0,84.247008
190547070.0,82.68703199999999
191197060.0,81.12705599999998
191847050.0,79.56707999999998
192497040.0,78.00710399999997
193147030.0,76.44712799999996
193797020.0,74.88715199999996
194447010.0,73.32717599999995
195097000.0,71.7672
195746990.0,70.207224
196396980.0,68.64724799999999
197046970.0,67.08727199999998
197696960.0,65.52729599999998
198346950.0,63.96731999999997
198996940.0,62.407343999999966
199646930.0,60.84736799999996
200296920.0,59.287391999999954
200946910.0,57.72741599999995
201596900.0,56.16743999999994
202246890.0,54.60746399999999
202896880.0,53.04748799999999
203546870.0,51.48751199999998
204196860.0,49.927535999999975
204846850.0,48.36755999999997
205496840.0,46.80758399999996
206146830.0,45.24760799999996
206796820.0,43.68763199999995
207446810.0,42.127655999999945
208096800.0,40.56767999999994
208746790.0,39.00770399999999
209396780.0,37.447727999999984
210046770.0,35.88775199999998
210696760.0,34.32777599999997
211346750.0,32.767799999999966
211996740.0,31.207824000000016
212646730.0,29.647848000000067
213296720.0,28.08787200000006
213946710.0,26.527896000000055
214596700.0,24.96792000000005
215246690.0,23.407944000000043
215896680.0,21.847968000000037
216546670.0,20.28799200000003
217196660.0,18.728016000000025
217846650.0,17.16804000000002
218496640.0,15.608064000000013
219146630.0,14.048088000000007
219796620.0,12.488112000000001
220446610.0,10.928135999999995
221096600.0,9.368159999999989
221746590.0,7.808183999999983
222396580.0,6.248207999999977
223046570.0,4.688231999999971
223696560.0,3.1282560000000785
224346550.0,1.5682800000000725
224996540.0,0.00830400000006648
225646530.0,-1.5516719999999395
226296520.0,-3.1116479999999456
226946510.0,-4.671623999999952
227596500.0,-6.231599999999958
228246490.0,-7.791575999999964
228896480.0,-9.35155199999997
229546470.0,-10.911527999999976
230196460.0,-12.471503999999982
230846450.0,-14.031479999999988
231496440.0,-15.591455999999994
232146430.0,-17.151432
232796420.0,-18.711408000000006
233446410.0,-20.271384000000012
234096400.0,-21.831360000000018
234746390.0,-23.391336000000024
235396380.0,-24.95131200000003
236046370.0,-26.511288000000036
236696360.0,-28.071264000000042
237346350.0,-29.631239999999934
237996340.0,-31.19121599999994
238646330.0,-32.751191999999946
239296320.0,-34.31116799999995
239946310.0,-35.87114399999996
240596300.0,-37.431119999999964
241246290.0,-38.99109599999997
241896280.0,-40.55107199999998
242546270.0,-42.11104799999998
243196260.0,-43.67102399999999
243846250.0,-45.230999999999995
244496240.0,-46.790976
245146230.0,-48.35095200000001
245796220.0,-49.91092800000001
246446210.0,-51.47090400000002
247096200.0,-53.030880000000025
247746190.0,-54.59085600000003
248396180.0,-56.15083200000004
249046170.0,-57.71080800000004
249696160.0,-59.27078400000005
250346150.0,-60.830760000000055
250996140.0,-62.39073599999995
251646130.0,-63.95071199999995
252296120.0,-65.51068799999996
252946110.0,-67.07066399999997
253596100.0,-68.63063999999997
254246090.0,-70.19061599999998
254896080.0,-71.75059199999998
255546070.0,-73.31056799999999
256196060.0,-74.870544
256846050.0,-76.43052
257496040.0,-77.99049600000001
258146030.0,-79.55047200000001
258796020.0,-81.11044800000002
259446010.0,-82.67042400000003
260096000.0,-84.23040000000003
260745990.0,-85.79037600000004
261395980.0,-87.35035200000004
262045970.0,-88.91032800000005
262695960.0,-90.47030400000006
263345950.0,-92.03028000000006
263995940.0,-93.59025600000007
264645930.0,-95.15023199999996
265295920.0,-96.71020799999997
265945910.0,-98.27018399999997
266595900.0,-99.83015999999998
267245890.0,-101.39013599999998
267895880.0,-102.95011199999999
268545870.0,-104.510088
269195860.0,-106.070064
269845850.0,-107.63004000000001
270495840.0,-109.19001600000001
271145830.0,-110.74999200000002
271795820.0,-112.30996800000003
272445810.0,-113.86994400000003
273095800.0,-115.42992000000004
273745790.0,-116.98989600000004
274395780.0,-118.54987200000005
275045770.0,-120.10984800000006
275695760.0,-121.66982400000006
276345750.0,-123.22980000000007
276995740.0,-124.78977600000007
277645730.0,-126.34975200000008
278295720.0,-127.90972800000009
278945710.0,-129.46970399999998
279595700.0,-131.02967999999998
280245690.0,-132.589656
