"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.19618492654E-003, +0.00000000000E+000
+9.49970000000E+005, -4.81828312714E-003, +0.00000000000E+000
+1.59994000000E+006, -6.14045112444E-003, +0.00000000000E+000
+2.24991000000E+006, -6.68247950343E-003, +0.00000000000E+000
+2.89988000000E+006, -6.76275968448E-003, +0.00000000000E+000
+3.54985000000E+006, -7.10375213963E-003, +0.00000000000E+000
+4.19982000000E+006, -6.93283123388E-003, +0.00000000000E+000
+4.84979000000E+006, -6.84275902130E-003, +0.00000000000E+000
+5.49976000000E+006, -6.88291489490E-003, +0.00000000000E+000
+6.14973000000E+006, -7.12774192827E-003, +0.00000000000E+000
+6.79970000000E+006, -7.16954943474E-003, +0.00000000000E+000
+7.44967000000E+006, -7.30045195114E-003, +0.00000000000E+000
+8.09964000000E+006, -7.54085929190E-003, +0.00000000000E+000
+8.74961000000E+006, -7.89226319475E-003, +0.00000000000E+000
+9.39958000000E+006, -7.83463866223E-003, +0.00000000000E+000
+1.00495500000E+007, -8.05684017231E-003, +0.00000000000E+000
+1.06995200000E+007, -8.56472349444E-003, +0.00000000000E+000
+1.13494900000E+007, -8.88821644019E-003, +0.00000000000E+000
+1.19994600000E+007, -8.91982528484E-003, +0.00000000000E+000
+1.26494300000E+007, -8.95190504095E-003, +0.00000000000E+000
+1.32994000000E+007, -8.85919203419E-003, +0.00000000000E+000
+1.39493700000E+007, -8.81821952699E-003, +0.00000000000E+000
+1.45993400000E+007, -8.74201843025E-003, +0.00000000000E+000
+1.52493100000E+007, -8.71584121786E-003, +0.00000000000E+000
+1.58992800000E+007, -8.68698079135E-003, +0.00000000000E+000
+1.65492500000E+007, -8.68911339571E-003, +0.00000000000E+000
+1.71992200000E+007, -8.69651443607E-003, +0.00000000000E+000
+1.78491900000E+007, -8.71800383357E-003, +0.00000000000E+000
+1.84991600000E+007, -8.73168493877E-003, +0.00000000000E+000
+1.91491300000E+007, -8.75774936874E-003, +0.00000000000E+000
+1.97991000000E+007, -8.81425952057E-003, +0.00000000000E+000
+2.04490700000E+007, -8.89645494568E-003, +0.00000000000E+000
+2.10990400000E+007, -8.96838086926E-003, +0.00000000000E+000
+2.17490100000E+007, -9.04314095178E-003, +0.00000000000E+000
+2.23989800000E+007, -9.14331315083E-003, +0.00000000000E+000
+2.30489500000E+007, -9.27320352033E-003, +0.00000000000E+000
+2.36989200000E+007, -9.41278340677E-003, +0.00000000000E+000
+2.43488900000E+007, -9.58462903034E-003, +0.00000000000E+000
+2.49988600000E+007, -9.78600424032E-003, +0.00000000000E+000
+2.56488300000E+007, -9.96962703450E-003, +0.00000000000E+000
+2.62988000000E+007, -1.01385314652E-002, +0.00000000000E+000
+2.69487700000E+007, -1.02965054125E-002, +0.00000000000E+000
+2.75987400000E+007, -1.04595130591E-002, +0.00000000000E+000
+2.82487100000E+007, -1.05960429487E-002, +0.00000000000E+000
+2.88986800000E+007, -1.07510786237E-002, +0.00000000000E+000
+2.95486500000E+007, -1.09024181785E-002, +0.00000000000E+000
+3.01986200000E+007, -1.10743217150E-002, +0.00000000000E+000
+3.08485900000E+007, -1.12620430589E-002, +0.00000000000E+000
+3.14985600000E+007, -1.14659549496E-002, +0.00000000000E+000
+3.21485300000E+007, -1.16818015454E-002, +0.00000000000E+000
+3.27985000000E+007, -1.19101830665E-002, +0.00000000000E+000
+3.34484700000E+007, -1.21407077224E-002, +0.00000000000E+000
+3.40984400000E+007, -1.23798921779E-002, +0.00000000000E+000
+3.47484100000E+007, -1.26336762444E-002, +0.00000000000E+000
+3.53983800000E+007, -1.28771153082E-002, +0.00000000000E+000
+3.60483500000E+007, -1.31283411611E-002, +0.00000000000E+000
+3.66983200000E+007, -1.33855723453E-002, +0.00000000000E+000
+3.73482900000E+007, -1.36451224377E-002, +0.00000000000E+000
+3.79982600000E+007, -1.38899525381E-002, +0.00000000000E+000
+3.86482300000E+007, -1.41315713084E-002, +0.00000000000E+000
+3.92982000000E+007, -1.43983646535E-002, +0.00000000000E+000
+3.99481700000E+007, -1.46576127286E-002, +0.00000000000E+000
+4.05981400000E+007, -1.49180423703E-002, +0.00000000000E+000
+4.12481100000E+007, -1.51875392953E-002, +0.00000000000E+000
+4.18980800000E+007, -1.54662364002E-002, +0.00000000000E+000
+4.25480500000E+007, -1.57427580839E-002, +0.00000000000E+000
+4.31980200000E+007, -1.60309707911E-002, +0.00000000000E+000
+4.38479900000E+007, -1.63297756790E-002, +0.00000000000E+000
+4.44979600000E+007, -1.66305535736E-002, +0.00000000000E+000
+4.51479300000E+007, -1.69385677616E-002, +0.00000000000E+000
+4.57979000000E+007, -1.72503059975E-002, +0.00000000000E+000
+4.64478700000E+007, -1.75555305732E-002, +0.00000000000E+000
+4.70978400000E+007, -1.78563251816E-002, +0.00000000000E+000
+4.77478100000E+007, -1.81649907282E-002, +0.00000000000E+000
+4.83977800000E+007, -1.84760192709E-002, +0.00000000000E+000
+4.90477500000E+007, -1.88032516354E-002, +0.00000000000E+000
+4.96977200000E+007, -1.90944145074E-002, +0.00000000000E+000
+5.03476900000E+007, -1.93319031561E-002, +0.00000000000E+000
+5.09976600000E+007, -1.95696282511E-002, +0.00000000000E+000
+5.16476300000E+007, -1.98034041573E-002, +0.00000000000E+000
+5.22976000000E+007, -2.00410617192E-002, +0.00000000000E+000
+5.29475700000E+007, -2.02638991065E-002, +0.00000000000E+000
+5.35975400000E+007, -2.05161252426E-002, +0.00000000000E+000
+5.42475100000E+007, -2.07623295114E-002, +0.00000000000E+000
+5.48974800000E+007, -2.10153711966E-002, +0.00000000000E+000
+5.55474500000E+007, -2.12546760067E-002, +0.00000000000E+000
+5.61974200000E+007, -2.15011300824E-002, +0.00000000000E+000
+5.68473900000E+007, -2.17625601227E-002, +0.00000000000E+000
+5.74973600000E+007, -2.20298440460E-002, +0.00000000000E+000
+5.81473300000E+007, -2.23069894990E-002, +0.00000000000E+000
+5.87973000000E+007, -2.25847477105E-002, +0.00000000000E+000
+5.94472700000E+007, -2.28542286982E-002, +0.00000000000E+000
+6.00972400000E+007, -2.31327918863E-002, +0.00000000000E+000
+6.07472100000E+007, -2.33922022842E-002, +0.00000000000E+000
+6.13971800000E+007, -2.36537319644E-002, +0.00000000000E+000
+6.20471500000E+007, -2.39273674159E-002, +0.00000000000E+000
+6.26971200000E+007, -2.42096233975E-002, +0.00000000000E+000
+6.33470900000E+007, -2.44886400515E-002, +0.00000000000E+000
+6.39970600000E+007, -2.47627482379E-002, +0.00000000000E+000
+6.46470300000E+007, -2.50321615588E-002, +0.00000000000E+000
