"# Channel 2"
"# Trace 4"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -3.28033846891E+001, +0.00000000000E+000
+9.49970000000E+005, +1.19105378823E+002, +0.00000000000E+000
+1.59994000000E+006, +1.01043183106E+002, +0.00000000000E+000
+2.24991000000E+006, +1.05623765496E+002, +0.00000000000E+000
+2.89988000000E+006, +8.29898939977E+001, +0.00000000000E+000
+3.54985000000E+006, +8.49578632233E+001, +0.00000000000E+000
+4.19982000000E+006, +8.64779223600E+001, +0.00000000000E+000
+4.84979000000E+006, +9.50720972837E+001, +0.00000000000E+000
+5.49976000000E+006, +9.08596644093E+001, +0.00000000000E+000
+6.14973000000E+006, +1.01884371644E+002, +0.00000000000E+000
+6.79970000000E+006, +8.60795446996E+001, +0.00000000000E+000
+7.44967000000E+006, +9.47817282945E+001, +0.00000000000E+000
+8.09964000000E+006, +8.49515508436E+001, +0.00000000000E+000
+8.74961000000E+006, +8.79283336598E+001, +0.00000000000E+000
+9.39958000000E+006, +8.99690427908E+001, +0.00000000000E+000
+1.00495500000E+007, +8.86409237834E+001, +0.00000000000E+000
+1.06995200000E+007, +8.77186059213E+001, +0.00000000000E+000
+1.13494900000E+007, +8.58410227641E+001, +0.00000000000E+000
+1.19994600000E+007, +8.58056346191E+001, +0.00000000000E+000
+1.26494300000E+007, +8.50785887536E+001, +0.00000000000E+000
+1.32994000000E+007, +8.72410173342E+001, +0.00000000000E+000
+1.39493700000E+007, +8.71661181782E+001, +0.00000000000E+000
+1.45993400000E+007, +8.50079437950E+001, +0.00000000000E+000
+1.52493100000E+007, +8.51512568271E+001, +0.00000000000E+000
+1.58992800000E+007, +8.55588877220E+001, +0.00000000000E+000
+1.65492500000E+007, +8.68082949968E+001, +0.00000000000E+000
+1.71992200000E+007, +8.68744389968E+001, +0.00000000000E+000
+1.78491900000E+007, +8.59380460908E+001, +0.00000000000E+000
+1.84991600000E+007, +8.70415019047E+001, +0.00000000000E+000
+1.91491300000E+007, +8.62325821363E+001, +0.00000000000E+000
+1.97991000000E+007, +8.61416574252E+001, +0.00000000000E+000
+2.04490700000E+007, +8.65849652689E+001, +0.00000000000E+000
+2.10990400000E+007, +8.60380970789E+001, +0.00000000000E+000
+2.17490100000E+007, +8.76851753515E+001, +0.00000000000E+000
+2.23989800000E+007, +8.79678005562E+001, +0.00000000000E+000
+2.30489500000E+007, +8.87962836341E+001, +0.00000000000E+000
+2.36989200000E+007, +8.85391592845E+001, +0.00000000000E+000
+2.43488900000E+007, +8.94352592492E+001, +0.00000000000E+000
+2.49988600000E+007, +8.93367493899E+001, +0.00000000000E+000
+2.56488300000E+007, +9.00658120435E+001, +0.00000000000E+000
+2.62988000000E+007, +8.75729092409E+001, +0.00000000000E+000
+2.69487700000E+007, +8.67364896076E+001, +0.00000000000E+000
