freq,amp,phase
100000.0,0.9286018867749228,0
749990.0,0.9286018995800246,0
1399980.0,0.928601931969323,0
2049970.0,0.9286019839428017,0
2699960.0,0.9286020555004354,0
3349950.0,0.9286021466421892,0
3999940.0,0.9286022573680186,0
4649930.0,0.9286023876778693,0
5299920.0,0.9286025375716772,0
5949910.0,0.9286027070493694,0
6599900.0,0.9286028961108624,0
7249890.0,0.9286031047560641,0
7899880.0,0.9286033329848722,0
8549870.0,0.928603580797175,0
9199860.0,0.928603848192851,0
9849850.0,0.9286041351717694,0
10499840.0,0.9286044417337898,0
11149830.0,0.9286047678787619,0
11799820.0,0.9286051136065264,0
12449810.0,0.9286054789169137,0
13099800.0,0.9286058638097452,0
13749790.0,0.9286062682848321,0
14399780.0,0.9286066923419767,0
15049770.0,0.9286071359809713,0
15699760.0,0.9286075992015989,0
16349750.0,0.9286080820036322,0
16999740.0,0.9286085843868356,0
17649730.0,0.9286091063509626,0
18299720.0,0.9286096478957575,0
18949710.0,0.9286102090209557,0
19599700.0,0.9286107897262822,0
20249690.0,0.9286113900114527,0
20899680.0,0.9286120098761733,0
21549670.0,0.9286126493201406,0
22199660.0,0.9286133083430418,0
22849650.0,0.9286139869445538,0
23499640.0,0.9286146851243448,0
24149630.0,0.9286154028820723,0
24799620.0,0.9286161402173856,0
25449610.0,0.9286168971299236,0
26099600.0,0.9286176736193154,0
26749590.0,0.928618469685181,0
27399580.0,0.9286192853271308,0
28049570.0,0.9286201205447653,0
28699560.0,0.928620975337676,0
29349550.0,0.9286218497054437,0
29999540.0,0.9286227436476409,0
30649530.0,0.9286236571638296,0
31299520.0,0.9286245902535626,0
31949510.0,0.9286255429163831,0
32599500.0,0.9286265151518249,0
33249490.0,0.9286275069594117,0
33899480.0,0.9286285183386583,0
34549470.0,0.9286295492890692,0
35199460.0,0.9286305998101395,0
35849450.0,0.9286316699013553,0
36499440.0,0.9286327595621924,0
37149430.0,0.9286338687921172,0
37799420.0,0.9286349975905871,0
38449410.0,0.928636145957049,0
39099400.0,0.9286373138909411,0
39749390.0,0.9286385013916909,0
40399380.0,0.9286397084587174,0
41049370.0,0.9286409350914295,0
41699360.0,0.9286421812892268,0
42349350.0,0.9286434470514991,0
42999340.0,0.9286447323776266,0
43649330.0,0.9286460372669798,0
44299320.0,0.9286473617189203,0
44949310.0,0.928648705732799,0
45599300.0,0.9286500693079585,0
46249290.0,0.9286514524437308,0
46899280.0,0.9286528551394385,0
47549270.0,0.9286542773943952,0
48199260.0,0.9286557192079042,0
48849250.0,0.9286571805792598,0
49499240.0,0.9286586615077463,0
50149230.0,0.9286601619926389,0
50799220.0,0.9286616820332024,0
51449210.0,0.928663221628693,0
52099200.0,0.9286647807783565,0
52749190.0,0.9286663594814297,0
53399180.0,0.9286679577371394,0
54049170.0,0.9286695755447033,0
54699160.0,0.9286712129033293,0
55349150.0,0.9286728698122152,0
55999140.0,0.9286745462705501,0
56649130.0,0.9286762422775132,0
57299120.0,0.9286779578322738,0
57949110.0,0.9286796929339919,0
58599100.0,0.9286814475818181,0
59249090.0,0.9286832217748927,0
59899080.0,0.9286850155123475,0
60549070.0,0.928686828793304,0
61199060.0,0.9286886616168744,0
61849050.0,0.9286905139821611,0
62499040.0,0.9286923858882568,0
63149030.0,0.9286942773342454,0
63799020.0,0.9286961883192002,0
64449010.0,0.9286981188421858,0
65099000.0,0.9287000689022568,0
65748990.0,0.9287020384984581,0
66398980.0,0.9287040276298257,0
67048970.0,0.9287060362953851,0
67698960.0,0.9287080644941527,0
68348950.0,0.9287101122251354,0
68998940.0,0.9287121794873304,0
69648930.0,0.9287142662797255,0
70298920.0,0.9287163726012989,0
70948910.0,0.9287184984510187,0
71598900.0,0.9287206438278444,0
72248890.0,0.928722808730725,0
72898880.0,0.9287249931586006,0
73548870.0,0.9287271971104011,0
74198860.0,0.9287294205850474,0
74848850.0,0.928731663581451,0
75498840.0,0.9287339260985127,0
76148830.0,0.9287362081351253,0
76798820.0,0.9287385096901707,0
77448810.0,0.9287408307625218,0
78098800.0,0.9287431713510422,0
78748790.0,0.9287455314545853,0
79398780.0,0.9287479110719955,0
80048770.0,0.9287503102021073,0
80698760.0,0.9287527288437459,0
81348750.0,0.9287551669957266,0
81998740.0,0.9287576246568553,0
82648730.0,0.9287601018259287,0
83298720.0,0.9287625985017333,0
83948710.0,0.9287651146830465,0
84598700.0,0.9287676503686357,0
85248690.0,0.9287702055572594,0
85898680.0,0.928772780247666,0
86548670.0,0.9287753744385941,0
87198660.0,0.9287779881287739,0
87848650.0,0.9287806213169247,0
88498640.0,0.928783274001757,0
89148630.0,0.9287859461819717,0
89798620.0,0.92878863785626,0
90448610.0,0.9287913490233033,0
91098600.0,0.928794079681774,0
91748590.0,0.9287968298303343,0
92398580.0,0.9287995994676375,0
93048570.0,0.928802388592327,0
93698560.0,0.9288051972030366,0
94348550.0,0.9288080252983907,0
94998540.0,0.9288108728770038,0
95648530.0,0.9288137399374815,0
96298520.0,0.928816626478419,0
96948510.0,0.9288195324984033,0
97598500.0,0.9288224579960097,0
98248490.0,0.9288254029698063,0
98898480.0,0.92882836741835,0
99548470.0,0.928831351340189,0
100198460.0,0.9288343547338613,0
100848450.0,0.9288373775978961,0
101498440.0,0.9288404199308123,0
102148430.0,0.9288434817311201,0
102798420.0,0.9288465629973192,0
103448410.0,0.9288496637279005,0
104098400.0,0.928852783921345,0
104748390.0,0.9288559235761242,0
105398380.0,0.9288590826907002,0
106048370.0,0.9288622612635254,0
106698360.0,0.9288654592930428,0
